Node,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Engagement
Matt Con,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
@OriginalFunko,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
Ifeanyi Nsofor,0.0005706948209444999,9.698880304579048e-05,0.0787595606604088,0.0005706948209444999
@chadwickboseman,0.10272506777000999,0.05305030434628949,0.10246611869402118,0.10272506777000999
@NPRGoatsandSoda,0.00028534741047224997,0.0,0.06395134584526209,0.00028534741047224997
MVSLIM,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
@HafsahDabiri,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
ScreenTime,0.0005706948209444999,0.0001711939880784184,0.06061192492807851,0.0005706948209444999
@THR,0.0042802111570837496,0.004627357291587076,0.07229406625445038,0.0042802111570837496
@ComicBook,0.0022827792837779998,0.0020401950754427825,0.06197503254904194,0.0022827792837779998
Rhai  Free ,0.0008560422314167499,1.2215214489394262e-07,0.00042802111570837496,0.0008560422314167499
@jaeminohsexc,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
@chansoldior,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
jaeminohsexc,0.00028534741047224997,0.0,0.00025681266942502494,0.00028534741047224997
Darth Spidey,0.0005706948209444999,4.071738163131421e-08,0.00028534741047224997,0.0005706948209444999
@Nh3engineer,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
Nh3engineer,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
Lettertab,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
@karldelo,0.00028534741047224997,0.0,0.00014267370523612499,0.00028534741047224997
Donnell Wilson ,0.0005706948209444999,4.071738163131421e-08,0.00028534741047224997,0.0005706948209444999
@Jonesness,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
Jonesness,0.00028534741047224997,0.0,0.00019023160698149996,0.00028534741047224997
SEVENTEEN WEVERSE,0.00028534741047224997,0.0,0.00029723688590859376,0.00028534741047224997
@pledis17,0.0005706948209444999,1.6286952652525683e-07,0.0004458553288628906,0.0005706948209444999
Movie Plus News,0.0011413896418889999,0.000581077753260485,0.0596744200127882,0.0011413896418889999
@HollywoodRecs,0.00028534741047224997,0.0,0.050767566922340086,0.00028534741047224997
