Community,Average Degree Centrality,Node Count
Community 0,0.0006803989378540767,489
Community 1,0.0008006665923981625,438
Community 2,0.0007202059241951357,313
Community 3,0.0006386877585960908,256
Community 4,0.0006838773133664538,179
Community 5,0.0006481965867517777,81
Community 6,0.0005902391641275308,73
Community 7,0.0005913721695294456,69
Community 8,0.0005597199205417211,52
Community 9,0.0007704380082750749,40
Community 10,0.0006685282188206999,35
Community 11,0.0006126576754257133,34
Community 12,0.0005706948209444999,31
Community 13,0.0009892043563037999,30
Community 14,0.0005706948209444999,30
Community 15,0.0006297322162146207,29
Community 16,0.0005808857998899375,28
Community 17,0.0006446737792150833,27
Community 18,0.0005478670281067199,25
Community 19,0.0005469158700718125,24
Community 20,0.0006699460941522391,23
Community 21,0.0005447541472652045,22
Community 22,0.0005435188770899999,21
Community 23,0.0005706948209444999,20
Community 24,0.0005849621914681125,20
Community 25,0.0005564274504208874,20
Community 26,0.0005406582514211052,19
Community 27,0.0005371245373595293,17
Community 28,0.0005706948209444999,17
Community 29,0.0005371245373595293,17
Community 30,0.0005371245373595293,17
Community 31,0.0005350263946354687,16
Community 32,0.0007038569458315499,15
Community 33,0.0005326484995481999,15
Community 34,0.0005706948209444999,15
Community 35,0.0005326484995481999,15
Community 36,0.00052993090516275,14
Community 37,0.0008152783156349999,14
Community 38,0.0005910767788353749,14
Community 39,0.0005706948209444999,14
Community 40,0.0005267952193333846,13
Community 41,0.0005926446217500576,13
Community 42,0.0005267952193333846,13
Community 43,0.0005487450201389423,13
Community 44,0.0005231369191991249,12
Community 45,0.0005231369191991249,12
Community 46,0.0005469158700718125,12
Community 47,0.0005231369191991249,12
Community 48,0.000518813473585909,11
Community 49,0.000518813473585909,11
Community 50,0.0005447541472652045,11
Community 51,0.0006225761683030909,11
Community 52,0.000518813473585909,11
Community 53,0.000518813473585909,11
Community 54,0.0005706948209444999,11
Community 55,0.000518813473585909,11
Community 56,0.0006277643030389499,10
Community 57,0.00051362533885005,10
Community 58,0.00051362533885005,10
Community 59,0.0005992295619917249,10
Community 60,0.00051362533885005,10
Community 61,0.0006848337851334,10
Community 62,0.00051362533885005,10
Community 63,0.00051362533885005,10
Community 64,0.00051362533885005,10
Community 65,0.00051362533885005,10
Community 66,0.00051362533885005,10
Community 67,0.000507284285284,9
Community 68,0.000507284285284,9
Community 69,0.000507284285284,9
Community 70,0.0006975158922654999,9
Community 71,0.000507284285284,9
Community 72,0.000507284285284,9
Community 73,0.00053898955311425,9
