Community,Topic,Top_Words
merged_small_communities,0,marvel theemmys away xbox time
merged_small_communities,1,playavengers just death panther black
merged_small_communities,2,marvel did pass sadly time
merged_small_communities,3,rip away actor marvel sad
merged_small_communities,4,passed away blackpanther https mcu_direct
0,0,away chadwick boseman black panther
0,1,marvel away rip https death
0,2,black jackie robinson panther away
0,3,black away panther chadwick sad
0,4,death love marvel life know
2,0,black panther just chadwick rip
2,1,panther black wakandaforever https king
2,2,cancer https panther black wakandaforever
2,3,black panther rip https chadwick
2,4,played actor https panther black
6,0,people just right think die
6,1,recast away especially recasted marvel
6,2,away just tchalla sadly think
6,3,away just tchalla sadly think
6,4,marvel_updat3s away sadly character actor
8,0,passed away rip movie think
8,1,pass comic adams neal passed
8,2,away sad passed just pass
8,3,passed https away story dccomics
8,4,chadwickboseman away passed panther black
10,0,passed away marvelstudios chadwick black
10,1,passed away death chadwickboseman marvelstudios
10,2,amp passed saying tchalla escaflowneclown
10,3,away passed sadly feel marvelfanspakistan
10,4,black death pass panther marvelstudios
11,0,away boseman chadwick chadwickboseman panther
11,1,chadwick away panther black boseman
11,2,chadwickboseman hero sad away boseman
11,3,sad away boseman chadwick chadwickboseman
11,4,sad away boseman chadwick chadwickboseman
17,0,actor kidnoble away watch tell
17,1,death told years away played
17,2,challa chadwick kidnoble cancer lives
17,3,movies wakanda chadwick movie played
17,4,death told away kidnoble chadwick
31,0,away passed black panther did
31,1,year marvel sadly like https
31,2,year marvel sadly like https
31,3,year marvel sadly like https
31,4,movies panther black passed away
52,0,cousin virus away good life
52,1,death pass babies don life
52,2,passed away babies pass don
52,3,passed away babies pass don
52,4,passed away babies pass don
55,0,panther black actor pass mean
55,1,passed just away panther black
55,2,panther black away passed fortnitegame
55,3,just passed marvel didn johnslpaul
55,4,actor just rip know movie
56,0,really passed panther black away
56,1,away passed chadwick challa panther
56,2,netflix panther passed away black
56,3,black person movie really pass
56,4,role sadly tragic potential pretty
