pca1,pca2,community,t-sne1,t-sne2,simplified community,username,engagement_score,retweet_count,favorite count,followers count,tweet_text
-13200.54342723448,0.2408079942688789,504,15.2217455,-37.10782,Other,matt con,0.3034482758620689,17,159,579,Funko Hollywood has a really touching tribute to Chadwick Boseman right now. Well done you guys! #FunkoHollywood #Funko #ChadwickBoseman @OriginalFunko https://t.co/humjcwpxfY
-13200.54342723448,0.2408079942688789,504,15.2217455,-37.10782,Other,matt con,0.3034482758620689,17,159,579,"It’s funny, I purposely stayed away from the zombified line of Marvel characters, but I love the designs from the What If episode and had to have these. 🤷🏻‍♂️ Also, is it me, or is the common Cap much cooler than the Funko Shop version?"
7539.456572771083,-0.0612735096582486,1,73.89745,-4.388172,1,ifeanyi nsofor,0.0009849906191369,7,14,21319,"In my Igbo culture, when a great king passes on, we say, ""Oke osisi adaala n'obodo,"" which means ""a great tree has fallen in the land.""

My tribute to @chadwickboseman, the Black Panther. Via @NPRGoatsandSoda #WakandaForever #Wakanda 
https://t.co/z6HVDq5I3j"
7539.456572771083,-0.0612735096582486,1,73.89745,-4.388172,1,ifeanyi nsofor,0.0009849906191369,7,14,21319,"Today, I remember @chadwickboseman - the Black Panther, King T'Challa. Still feel sad that such a great talent has passed on. I wrote this tribute to him. As a great African King, he lives on. @NPRGoatsandSoda #WakandaForever 
https://t.co/z6HVDq5I3j"
-4021.543427228908,-0.0618564977366765,505,70.41418,8.639533,Other,mvslim,0.0006148170919151,1,5,9758,"At the weekend, the Black Panther Star, Chadwick Boseman sadly passed away after a long battle with Cancer. 

Here are some reflections from @HafsahDabiri our Chief Editor. 

https://t.co/s5fj0tji5T

#Mvslim #Muslim #ChadwickBoseman #BlackPanther"
806583.4565727708,-0.0422179420515384,3,74.36917,-18.025518,3,screentime,0.0053317795515161,478,3896,820363,"Disney's only focus right now is paying tribute to Chadwick Boseman and not on making 'Black Panther 2'

No one involved with #BlackPanther was aware Chadwick was sick. Kevin Feige found out after he had passed away 

(via @THR) https://t.co/hG2iIf0XTr"
806583.4565727708,-0.0422179420515384,3,74.36917,-18.025518,3,screentime,0.0053317795515161,478,3896,820363,"Marvel will not do any more Stan Lee cameos

'Their policy is he doesn't cameo now that he's passed away""

(via @ComicBook) https://t.co/aeFcs9ZmRB"
-10427.543427228928,-0.0607997939994866,287,47.752876,11.446989,Other,rhai ᵕ̈ free 🇵🇸,0.0017894422904861,0,6,3352,"@jaeminohsexc @chansoldior woozi had a little figurine of black panther which is being portrayed by chadwick who passed away :( and woozi replied to op ""RIP"" and this woogyuloona made a JOKE abt it https://t.co/gNsB6x1HhM"
-6790.543427228897,-0.0625222864999254,506,66.28261,15.591352,Other,darth spidey,0.0,0,0,6989,"@Nh3_engineer No not just the Black Panther tweet, asking someone to follow me when Chadwick Boseman has passed away and complaining about followers.
Which I'm trying to fix but I can I have done enough. https://t.co/9ahS3gRUuG"
-6790.543427228897,-0.0625222864999254,506,66.28261,15.591352,Other,darth spidey,0.0,0,0,6989,"Is still a shame that MCU lost like 4 or 5 actors.
One who passed away and the others who left and yet they're still making more movies and TV shows because MCU makes Disney more money.
This is how Disney sees in Marvel and Star Wars. https://t.co/3LRPnFrKW6"
-13764.543427233495,0.1873493363112404,507,-52.31717,27.716475,Other,lettertab,0.25,1,3,15,"Today's Newsletter Pick of the Day is written by @karl_delo where he suggests his readers to watch Da 5 Bloods in honour of star Chadwick Boseman, who passed away after a battle with colon cancer last week at the age of 43.

 #ChadwickBoseman #Da5Bloods 
https://t.co/CVlfRIe1K9"
-12547.54342722891,-0.0618172311801028,508,25.854883,1.2067864,Other,donnell wilson 🇺🇸🇬🇧,0.0008110300081103,0,1,1232,@Jonesness My son is 7 and he still thinks I’m black Panther. I can’t even tell him Boseman pass away
156111.45657277096,-0.053160725408931,98,72.73382,-14.337349,Other,seventeen weverse,0.0063628658206389,121,960,169891,"tw // death • [REPOST]

From #우지’s comment to fan:

OP: Jihoon do those kids have names??

#WOOZI: RIP

@pledis_17 #SEVENTEEN #세븐틴

*repost bc qrts were :/ he’s talking about the black panther figurine. if you did not know, chadwick boseman recently passed away + https://t.co/21peDall9g"
-13774.543427228897,-0.0626508477684682,3,-43.574924,40.020462,3,movie plus news,0.0,0,0,5,"Chadwick Boseman starrer 42 to re-release in theatres in the US as a tribute 
-
A few days ago, Black Panther actor Chadwick Boseman passed away after his p ...
--
https://t.co/x7z9tFKyhx
-
#Movie #Trailer #Tv #Hollywood #Gaming @HollywoodRecs @netflix @THR @latimesmovies https://t.co/plk22WK5WH"
-13299.543427228897,-0.0626421039823059,98,-1.0628217,-31.830652,Other,ishu\⁷ 𖧷| bright after rain🌧🌈 🍉,0.0,0,0,480,"@nice_weirdo14 @1woo17 @pledis_17 The actor who played black panther (Chadwich Boseman) passed away few days ago due to cancer, that's why he wrote RIP"
-13697.543427228897,-0.0626494303547114,288,-36.23987,-22.012444,Other,world’s biggest thunder fan,0.0,0,0,82,"@LunaYenitze @Ninety9us well there was a black panther skin leaked, but cmon, the guy just passed away, have some respect"
-12152.54342722894,-0.0601639875827177,1,40.089756,-33.860123,1,illastr8 radio,0.0024570024570024,1,3,1627,Chadwick Boseman (@chadwickboseman) has passed away at the age of 43 from stage IV Colon cancer. He broke barriers in his well known film “Black Panther”. He is our super hero in real life and will be greatly missed. RIP King and Thank You for leaving us with your great work! https://t.co/dzuGi57RF1
-12878.543427228917,-0.0615257067764595,509,26.337233,37.687878,Other,mampho ngakane 🇨🇩🇸🇩🇵🇸,0.0011086474501108,0,1,901,@fanamokoena The only reason you speaking about Atandwa being Black Panther is because Chadwick has passed away.
-13174.543427228897,-0.0626398029859474,289,16.73418,-31.691643,Other,rodamoon 🔜 mff2024 #blacklivesmatter,0.0,0,0,605,"@My_Echo4 @gonzalezratili1 I mean it's an Avengers game post and they're ""giving you"" Black Panther yet they're selling their battle pass for 10 usd. Shouldn't they, I don't know, give it for free as a tribute to Chadwick? Instead they're using him as marketing"
-12951.543427228897,-0.0626356980084438,510,17.831213,41.158443,Other,haliee 👸🏾,0.0,0,0,828,"@breee_dior He was an amazing black panther. I still can’t believe he passed away, I know you sad sis"
-11439.543427228911,-0.0617535294025399,225,47.536793,-9.013235,Other,gock40spazz👸🏿,0.0008543357539513,0,2,2340,"@AngelAl3xander @NariSpaceCamp maybe she should’ve given is time to breathe, however there have been some people thatve done the same and got praised for it. on top of that Amy already had a Black Panther attire way before Chadwick passed away."
-13773.543427228897,-0.0626508293604974,511,-44.66658,39.04894,Other,kevindeanhatesliberals,0.0,0,0,6,Imagine paying tribute to a man who passes away and using politics in the same sentence so that people feel more sympathy for you. #ChadwickBoseman dosen't need you to mention #PoliceBrutality in a tribute to him you disrespectful trashbag @KekePalmer
13344.456572771098,-0.0621516420064962,512,74.21938,-6.48192,Other,spencer paysinger,0.0,0,0,27124,"@mike_ham21 Chadwick passed away. T’Challa still lives IF they want to recast.

But I’m willing to discuss how important it is to have Black Panther be a black man for a little while longer till Shuri takes the helm."
-13771.543427232986,0.1595714296776665,290,-46.239403,36.347305,Other,john stud,0.2222222222222222,0,2,8,@KyeKapri @PlayAvenger They were going to show black panther but it isn’t the right time because Chadwick just passed away but he’ll probably get shown in the next war table
-13722.543427228897,-0.0626498905539831,12,-46.25241,-37.922523,Other,bradleyjh,0.0,0,0,57,"@AvengersLegend @PlayAvengers They were gonna announce black panther as the new hero for the game but they didn't because Chadwick Boseman passed away, but he is gonna be in the game because they showed this at the start of the stream https://t.co/slF0QWBSAr"
-13193.543427228897,-0.0626401527373939,513,15.654538,-35.67969,Other,zee♈,0.0,0,0,586,@Simtha_Magobo It's funny how I thought Atandwa is the one that passed away 🤣I honestly thought the guy from Black panther is Atandwa
6432.4565727711015,-0.0622788779011365,1,74.326744,-3.6212718,1,dt next,0.0,0,0,20212,"Actor-producer @michaelb4jordan.  has penned an emotional Instagram tribute for his friend and colleague #ChadwickBoseman, who passed away due to colon cancer at age 43.
https://t.co/B5m4HoXVHh"
-13747.543427232242,0.1191678310649269,12,-67.79414,-2.4073448,Other,𝐇𝐞𝐚𝐝𝐬𝐡𝐫𝐢𝐧𝐤𝐞𝐫‎ ‎✪,0.1818181818181818,0,6,32,"@SaegerBomb @PlayAvengers OMG you really don't get it??? Black Panther, literally, was gonna be announced as a first post launch hero. People are now asking mostly for Black Panther only because Chadwick pass away and that is just shameful."
-13273.543427228968,-0.0586968521995209,291,0.4345175,-36.69881,Other,bozz 🇵🇸,0.0039447731755424,0,2,506,@PhantomPanda7 @JullianBurdett They did tease black panther at the beginning with the logo. They were going to fully reveal black panther in the stream originally but they didn’t and altered the show out of respect for Chadwick Boseman because he just passed away
-13733.54342722968,-0.0200969015523009,12,-55.419136,-29.314482,Other,sk8rxpunk,0.0425531914893617,0,2,46,@slicer141 @PlayAvengers Way it was looking it was going to be black panther but since he passed away and to be respectful they waiting at a later time so they chose kate also story wise with her makes more since to deal with Hawkeye since they were a team for awhile in the comics
-13614.543427228897,-0.0626479024931293,79,-26.229012,-6.6189227,Other,last_of_the_era,0.0,0,0,165,@Elmajoh @PalombizioTony @yvelisseoficial @EyesOnQ Wakanda Forever since Chadwick Boseman just passed away? But none of the things he did were Masonic
-12569.543427228926,-0.0609771385004838,514,26.187181,3.1076407,Other,💰qu’ran cook aka the dreamkiller👑,0.0016515276630883,0,2,1210,@johnnyfarmerCAW I made A Black panther Attire Even Before Chad Bosewick passes away and The Reason being is Because Black panther is My Favorite Hero in Marvel
-13749.543427228897,-0.0626503875691965,515,-67.20953,0.0975876,Other,martha mckinney,0.0,0,0,30,"Chadwick Boseman married longtime love before his death, family reveals https://t.co/PeQDjGlOP4 via @TODAYshow that's amazing that's amazing black panther just passed away and that's a sad but that's amazing this picture reminds me of black panther"
-13761.543427228897,-0.0626506084648469,2,-54.930183,24.075588,2,xad,0.0,0,0,18,"@GraceRandolph @StJude I hope they have enough extra footage to make a nice send off, i hate CGI for people who have passed away, feels wrong. Agree that Chadwick is T'Challa, only person Shuri calls brother, she could take over then a male actor in BP3 be a new different character+Black Panther suit."
-13778.543427228897,-0.0626509214003517,1,-36.66856,47.66433,1,theheartbreaksoldier,0.0,0,0,1,@LewisHamilton hitting the “wakanda forever” pose after @chadwickboseman passed away is amazing https://t.co/zJq1RG4hIe
-13690.543427229712,-0.0182048570544709,516,-39.273685,-17.808378,Other,amanda gibbs,0.0444444444444444,1,3,89,@sherylunderwood it sucks. He had to pass away yesterday you're the great king and he played his part cuz he has one amazing person play tribute to black panther they should have a day for him my friend I love his movies rest in peace my king
-13349.543427228897,-0.0626430243808493,517,1.994867,-19.189276,Other,treestand🌳,0.0,0,0,430,"@HappyPower Yes it is sad that Chadwick passed away and it does make sense if Fortnite were to change their mind about adding the POI, but also it makes more sense for them to still add it. The Black Panther is a Marvel character, not just Chadwick."
