Community,Average Degree Centrality,Node Count,Community Description
0,0.000680398937854,489,"@kevfeige @disneystudios | @edzofpain @wakristina @marvel @theblackpanther ya its so | king &amp | @jenniferrcarey | @chiefwakil | @transformers @rajcomics | america | wakanda | shang chi | #stanlee | https://t.co/olsnvebymt mateo's | @kvng__drizzy @baller_kamasi @jpemberton15 @ekie0 | c. evans | shorty | williamhurt | superman | bringbackbettyross | daniel radcliffe | https://t.co/c1gitzhzok @lengua_boi | roland williams | chadwick bosman | @marveluk | china | @zoesaldana | ben | loki | christopher | christopher reeve's | @laughatbrad @robertdowneyjr rdjs personal | jackierobinson https://t.co/7zrhaakbx3 | robert downey jr | tim | the moon knight | delhi | @dylanfrayne @voodoosev | peggy @marvel @marvelheaux | bruce banner | stan lee | @thecableng @chadwickboseman @theblackpanther | stark &amp | letitia wright | god | ross @kevfeige | nope | william | george prez | @kevfeige | @marvel @guldaar @marvel | lucas | @iamkingatn @rooneym4r4 | https://t.co/d6wbgpdagg | loki's | simu li | @henryboy111 | chadwick boseman | stan | @casademayor | norman | betty ross | annuel | https://t.co/mvvzw9hvsi abe | @marvelstudiosca | paul | ford | kevin feige | @emansreviews | gon | @therealstanlee | mahershala ali | sandiegocomiccon2022 | restinpeace chadwick boseman | the @basil19861 @bahamutifa @starwars @marvel | mike pasciullo | https://t.co/fl3dbkj4qa wakanda | chadwick bozeman | scott summers voice actor | chris | @kevfeige &amp | @turtleshell412 @bahamutifa @starwars @marvel | @bobmarley @theblackpanther | disney | @acm_1030 @theblackpanther | @theartjedi | james bond | karla sofen | recasttchalla | t'challa | kamala khan | @robertiger @vanlathan @jemelehill @drjasonjohnson | bruce wayne | george perez | rip  @therealstanlee | https://t.co/zcoqdosfiq chadwick boseman | @gaspardulliel | @attorneycherika | @valiantcomics &amp | ripstanlee | chadwick | disney @kevfeige | steve | @nicholassbirch @ekie0 @uravgconsumer | @marvel @spongebob https://t.co/93ylqykqai | @jpalmiotti | @moonknight | @chadwickboseman | @chaotic_quinn | @chadwickboseman, &amp | mark hamil | un | https://t.co/kjaefpzjov @wick014 | comicbooks | https://t.co/73fzh16dox | christopher reeve | chala | boseman | @lordchickenhawk @memo33x | greg | thor1 | https://t.co/l16dswwsuu | walt disney studios | sharon ventura | @kevfeige @theblackpanther | @officialvystar | https://t.co/bxpgzzhsut | @skydance | @avachoolie @lynxkitsoni | panther  &amp | steve lightle | chris evans | @marveluk @thedenofnerds | https://t.co/pi35yf0yos @atlblerd2 | harrison | @thunderboltross | the king @ws_wolfstar | @robertdowneyjr | https://t.co/uzpxmgdblz @marvel | https://t.co/caq8qqruwx | @eon1eno @thedenofnerds @drstrange | @theblackpanther | new york city | neal | @marvel @theblackpanther | kevin | @eon1eno | sony | ryan coogler | @thatashleyerin | chadwickboseman | @marvel | charles | shuri | @amitdivecha1 | finn jones | forever missed &amp | crown shuri | clark kent | @jazzlandia | https://t.co/sgyt1gvgmb @anarki1112 @dmcnairn76 @battinsonbatman | morbius | dheeraj verma | kingvalkyrie | mos &amp | @emansreviews @ekhampton @gracerandolph | @tonyapendleton"
1,0.0008006665923981,438,https://t.co/5gy6rh7rkh | mlb | george floyd | bill @chadwickboseman | wakanda chad | https://t.co/0w58nlex0e | blackpanther | wakanda | @naija_pr | https://t.co/qovi9dibbq | jazzybwalker1033 | https://t.co/kswvhktj7l | @variety | @chadwickboseman haze | @theeejay | u t - chala | @chadwickboseman https://t.co/qovhufuvy2 | chadwick chadwick boseman | https://t.co/xz8nhh6vdu woken | jack kirby's | rip  https://t.co/vuo4qguvbo | memang suka bgt | boston | t'challa @chadwickboseman | nooooo | elizabeth | rip @chadwickboseman   | nooo | https://t.co/5znmneon7n | osisi adaala n'obodo | @chadwickboseman king  t'challa | formula1 | @chadwickboseman holy | wakanda @marnz33579875 | james brown &amp | jack kirbys | panther | @lewishamilton | https://t.co/ckewggqjsv | los angeles | restinpower @chadwickboseman | chadwick boseman | t'challa ... | https://t.co/4fhak96wte | man am | kindest | https://t.co/tzi2pivroy | mtvvma | macdonald | https://t.co/ydslc7eifp | https://t.co/b5m4hoxvhh @lewishamilton | rih chadwick boseman | @chadwickboseman https://t.co/kfqqncnhwn | @abc | https://t.co/tggkkovguw | @chadwickboseman   | sec | chadwick wakanda | r.i.p @chadwickboseman | r.i.p chadwick boseman | https://t.co/pd82oc6irx @chadwickboseman | @kevfeige &amp | fuck2020 | jack | lincoln | chadwickbozeman | t'challa | thatfilmydude https://t.co/cqgerwfoex | angelou | superstar rajinikanth | abc | @chadwickboseman https://t.co/jbhzvme27f | @chadwickboseman https://t.co/osdmehwxpq | @sheiners | jackierobinson @ | @chadwickboseman https://t.co/omejisfjyv | chadwick | blackpanther  https://t.co/ebllqudrmx r.i.p @chadwickboseman | @dereckapurnell @brianparticelli | kaala | jackierobinsonday2020 | https://t.co/lh7arfogdr chadwick boseman | @chadwickboseman | hollywood https://t.co/chb4zktyuj | african|ns | jackkirbyart | chadwick boseman @chadwickboseman | jackierobinson &amp | rip chadwick | jackie robinson | jackierobinson | @bosemanfnd | wakanda forever | https://t.co/chn6hdftm4 | u.s. | |kendrick lamar | corona virus | james brown | topgunmaverick | jamesbrown | https://t.co/25rmnobumk @chadwickboseman | sama black panther kan | rip @chadwickboseman | @chadwickboseman https://t.co/mvojcofpto | rip king | omg @chadwickboseman | kingamongstmen | restinpeacechadwickboseman | india | tedwinn https://t.co/gmeefa7nph | https://t.co/d0aj3z68qx | bbc news - chadwick | bbc | @theblackpanther | ripchadwickbosman | superhero | andy lazy | @joshgad @jhaletweets | king!!!!l | damn... | lewis hamilton | https://t.co/k4n0pxo6un @chadwickboseman | chadwickboseman | @chrissamson | jack kirby | https://t.co/ftpvpi85aw | https://t.co/sjwgakgcia | shuri | https://t.co/64vbgdxqq4 | 2k20 @chadwickboseman | chadwickforever @chadwickboseman jamesbrown | thurgood marshall | @chadwickboseman wakanda forever | wakandaforever @chadwickboseman | https://t.co/xyrdtpigoj r.i.p | @ap https://t.co/lq3dxbnriw @theperezhilton | kingtchalla | dia xnk | https://t.co/dqh05pxkhe rip king | chadwick https://t.co/srikxulq0r | https://t.co/e7uklw0zcm
2,0.0007202059241951,313,chris hemsworth | @mastertainment | woow | james bond | character+black | t'challa | https://t.co/qzjkgqmtuv @ericamusic_96 | @franklioceanic | https://t.co/r3g5aoxf7q | monica | @senpaishinobi1 | wakanda | martin | @11masonman11 | leave t'challa | kevin fiege | @johnslpaul | @damunroe @yuhdunknoeh @mossmann42 @mmoyer92 @bc42766710b | chadwick | robert pattinson | @thegicker @jemelehill | netflix | chadwick boseman | steve | @quintinlamarr @db44143189 @renzothesaint @bpanthernews | @quintinlamarr @fjlightning007 | kevin | @woodstock_tv | @evibbles666 | organic &amp | tom holland | chadwickboseman | joaquin phoenix | joker | jack kirby | @emansreviews | @skane2600 @__coleturner | shuri | boseman | panther &amp | jack nicolson | not.2/2 @dood_anon | tony  &amp | chris evans &amp | @gunnermanafc | @johnslpaul @brodie9992 marvel | wakanda forever | https://t.co/ped1heh7re | robert downey jr | @kylorenv2 @theafrotoad @bc42766710b @variety | mar-vell | stan lee | @leiiaaorgana
3,0.000638687758596,256,@johnnyalucard @thr kirby | wha wha wha | @cosmicwonderyt @thr | disney's | @nkanyezi_iv | @netflix @thr @latimesmovies | @netflix netflix | chadwick boseman's | https://t.co/oiioyzkawx @mr_arizona2424 @thr | @twosevenfs @damleo86 @iot_apprentice @ymdnny @culturecrave @thedirect | shang chi | henry ford | https://t.co/9du3zcak5h | @ethankleinman | @robertdowneyjr | panther fan &amp | @omniplexcinema | @frexerpw | @sanemjfan | chadwick | @netflix | netflix | chadwick boseman | stan | | https://t.co/pvscfjgl7k | @chrishemsworth | kevin | moon knight | sony | us | fox | @deadline https://t.co/tqvfgxy1vt @thr @chrisevans | chadwickboseman | harrison ford | hoodwink disney | @kyle_castorena | ford | shuri | loki | disney merge | @polarbrosteven @boopbopbeep51 | @charlieoliver | william hurt | @geeksofcolor @geektomeradio @teamjdf | https://t.co/ardoz36hg9 @damleo86 | wakanda forever | @ironninja013 @newprreunion30 @marvel_mmo | https://t.co/djcxmangga | @callme_scooby | stan lee | @samuelljackson | christopher nolan
4,0.0006838773133664,179,chadwick boseman's | @marvel_tv | america | wakanda | tchalla | loomis | shang chi | godzilla vs kong | chadwick | reg e. cathey | cuc | netflix | s | chadwick boseman | steve | sam wilson | @_dylan_1999 @killava49 @busted_babe @mcu_direct | https://t.co/k3lai3psry @rwby_fan10000 @mcu_direct | chadwickboseman | @rwby_fan10000 @thr | @spiderman3news | shuri | brian o'conner | livia soprano | wakanda forever | @therealchrisemu
5,0.0006481965867517,81,t'challa | @jjm__56 @afathersbastard @seanwel33239440 @seohoops @moses091115 | america | @hawttoys | ditko | bruce lee | @discussingfilm | chadwick | lee. | disney &amp | @igorcio147 @tri_state26 | chadwick boseman | steve | stan | sony | @matthewacherry | t'challa people | @believeinfed | m'baku | jack kirby | overtake shang-chi | china | shuri | steve ditko | https://t.co/pyicnndhzm @ghost0nee | rip chadwick | https://t.co/xn7owvboej | @directorsmiso | oscars2023 | joe simon... | wakanda forever | stan lee | ross
6,0.0005902391641275,73,new hawkeye | william hurt | @statefromharlem | @toxicwandastann @gomezinthewoods @wandaspu55y | @jakeasherboi | ross | chadwick | @cortland_g @mpjgame @time17prime | @multifandomsssx | peter parker | shuri | chadwick boseman | stan lee | @darthmongral
7,0.0005913721695294,69,johncygan | @sirpatstew @cityofboston | @usa @therealstanlee | https://t.co/5tslur8msm | @marvel @diablo @ravensoftware @playstation | kellypreston @victorodds6 | kathleen | relatedto stan | @qikipedia | @zoemode @xmenmovies @itsthewolverine | @goldenglobes @rosedor @sagawards @channel4 | @bobdylan @luckyman | queenelizabethii | @victorodds6 | @skymax_tv | @therealstanlee
8,0.0005597199205417,52,@maliquearrowve1 | fmarvel | @gamingpop | @chestereugene @thecybercorgi @nullpointer99 | william hurt | thunderbolt ross | @batmanrobinson @baqer_fox @therealsupes | william | ford | @ronvinke | chris evens | richard donner | shuri | @deadline | god
9,0.000770438008275,40,@bkennedybarbara @swcrisis @10mm_404 | @rozjonez @insane_voice @goodcollie @mugger124
10,0.0006685282188206,35,sony | @theslick001 @roundrobinrick | daniel radcliffe | @lukesweenz @gangsterenieb | gamora &amp | natasha | @theslick001 @damleo86 @mcu_direct | chadwick boseman
11,0.0006126576754257,34,@damian28581641 @dianasp1984 | va | rocky | jerry judge
12,0.0005706948209444,31,@crystaldynamics | wakanda forever | iam | shuri | kinda | https://t.co/slf0qwbsar | wakanda
13,0.0009892043563037,30,https://t.co/aitnsmheyz via | @youtube r.i.p chadwick boseman | america | https://t.co/bwr5qxiiou | https://t.co/nhxmau6cxt | raffaella carr - rumore - chile | https://t.co/dbchorcckb | | rip chadwick | chadwick boseman's | blackpanther | chadwick boseman black panther | chadwick boseman | kendrick lamar | ripchadwickboseman r.i.p chadwick boseman
14,0.0005706948209444,30,marvelxfortnite | @ceoadam @pubg | sun | @shwyien | cleveland | t'challa | chadwick | shuri | @abs0lutezero @paulbai09507894 | chadwick boseman | steve
15,0.0006297322162146,29,jackie robinson | thurgood marshall | chadwick bozeman | blackpanther | shuri | chadwick boseman | james brown | wakanda foreverr
16,0.0005808857998899,28,sony | india | richard donnor | wolf | @vaughnsmarsh | chadwick | @realscreengeek | shuri | netflix | starz
17,0.000644673779215,27,@stevenstrugglin | jesus | restorethesnyderverse | @consiglierematt | t.l. | texas
18,0.0005478670281067,25,jackie robinson | thurgood marshall | @realdonaldtrump chadwick boseman's | chadwickboseman | bidenharris2020tosaveamerica | @theleegreenwood chadwick boseman's | @realdonaldtrump | chadwick boseman's | @kelleyashbypaul @politico | chadwick boseman | @mighty_flynn | james brown
19,0.0005469158700718,24,ltuhura | @nrosenberg012 @kkabrokwa87 @fightypnw @awsomeboy360 | nichellenichols | ironman | chadwickboseman | right &amp | chadwick | shuri | chadwick boseman
