Community,Average Degree Centrality,Node Count,Community Description
13,0.0009892043563037,30,13
89,0.000978333978762,7,Other
37,0.0008152783156349,14,Other
1,0.0008006665923981,438,1
9,0.000770438008275,40,Other
2,0.0007202059241951,313,2
32,0.0007038569458315,15,Other
70,0.0006975158922654,9,Other
205,0.0006848337851334,5,Other
186,0.0006848337851334,5,Other
61,0.0006848337851334,10,Other
4,0.0006838773133664,179,4
0,0.000680398937854,489,0
78,0.0006777000998715,8,Other
20,0.0006699460941522,23,Other
10,0.0006685282188206,35,Other
5,0.0006481965867517,81,5
17,0.000644673779215,27,Other
75,0.0006420316735625,8,Other
80,0.0006420316735625,8,Other
