Community,Average Degree Centrality,Node Count,Community Description
0,0.000680398937854,489,away chadwick boseman black panther | marvel away rip https death | black jackie robinson panther away | black away panther chadwick sad | death love marvel life know
1,0.0008006665923981,438,Other
2,0.0007202059241951,313,black panther just chadwick rip | panther black wakandaforever https king | cancer https panther black wakandaforever | black panther rip https chadwick | played actor https panther black
3,0.000638687758596,256,Other
4,0.0006838773133664,179,Other
5,0.0006481965867517,81,Other
6,0.0005902391641275,73,people just right think die | recast away especially recasted marvel | away just tchalla sadly think | away just tchalla sadly think | marvel_updat3s away sadly character actor
7,0.0005913721695294,69,Other
8,0.0005597199205417,52,passed away rip movie think | pass comic adams neal passed | away sad passed just pass | passed https away story dccomics | chadwickboseman away passed panther black
9,0.000770438008275,40,Other
10,0.0006685282188206,35,passed away marvelstudios chadwick black | passed away death chadwickboseman marvelstudios | amp passed saying tchalla escaflowneclown | away passed sadly feel marvelfanspakistan | black death pass panther marvelstudios
11,0.0006126576754257,34,away boseman chadwick chadwickboseman panther | chadwick away panther black boseman | chadwickboseman hero sad away boseman | sad away boseman chadwick chadwickboseman | sad away boseman chadwick chadwickboseman
12,0.0005706948209444,31,Other
13,0.0009892043563037,30,Other
14,0.0005706948209444,30,Other
15,0.0006297322162146,29,Other
16,0.0005808857998899,28,Other
17,0.000644673779215,27,actor kidnoble away watch tell | death told years away played | challa chadwick kidnoble cancer lives | movies wakanda chadwick movie played | death told away kidnoble chadwick
18,0.0005478670281067,25,Other
19,0.0005469158700718,24,Other
20,0.0006699460941522,23,Other
21,0.0005447541472652,22,Other
22,0.0005435188770899,21,Other
23,0.0005706948209444,20,Other
24,0.0005849621914681,20,Other
25,0.0005564274504208,20,Other
26,0.0005406582514211,19,Other
27,0.0005371245373595,17,Other
28,0.0005706948209444,17,Other
29,0.0005371245373595,17,Other
30,0.0005371245373595,17,Other
31,0.0005350263946354,16,away passed black panther did | year marvel sadly like https | year marvel sadly like https | year marvel sadly like https | movies panther black passed away
32,0.0007038569458315,15,Other
33,0.0005326484995481,15,Other
34,0.0005706948209444,15,Other
35,0.0005326484995481,15,Other
36,0.0005299309051627,14,Other
37,0.0008152783156349,14,Other
38,0.0005910767788353,14,Other
39,0.0005706948209444,14,Other
40,0.0005267952193333,13,Other
41,0.00059264462175,13,Other
42,0.0005267952193333,13,Other
43,0.0005487450201389,13,Other
44,0.0005231369191991,12,Other
45,0.0005231369191991,12,Other
46,0.0005469158700718,12,Other
47,0.0005231369191991,12,Other
48,0.0005188134735859,11,Other
49,0.0005188134735859,11,Other
50,0.0005447541472652,11,Other
51,0.000622576168303,11,Other
52,0.0005188134735859,11,cousin virus away good life | death pass babies don life | passed away babies pass don | passed away babies pass don | passed away babies pass don
53,0.0005188134735859,11,Other
54,0.0005706948209444,11,Other
55,0.0005188134735859,11,panther black actor pass mean | passed just away panther black | panther black away passed fortnitegame | just passed marvel didn johnslpaul | actor just rip know movie
56,0.0006277643030389,10,really passed panther black away | away passed chadwick challa panther | netflix panther passed away black | black person movie really pass | role sadly tragic potential pretty
57,0.00051362533885,10,Other
58,0.00051362533885,10,Other
59,0.0005992295619917,10,Other
60,0.00051362533885,10,Other
61,0.0006848337851334,10,Other
62,0.00051362533885,10,Other
63,0.00051362533885,10,Other
64,0.00051362533885,10,Other
65,0.00051362533885,10,Other
66,0.00051362533885,10,Other
67,0.000507284285284,9,Other
68,0.000507284285284,9,Other
69,0.000507284285284,9,Other
70,0.0006975158922654,9,Other
71,0.000507284285284,9,Other
72,0.000507284285284,9,Other
73,0.0005389895531142,9,Other
74,0.0004993579683264,8,Other
75,0.0006420316735625,8,Other
76,0.0004993579683264,8,Other
77,0.0004993579683264,8,Other
78,0.0006777000998715,8,Other
79,0.0004993579683264,8,Other
80,0.0006420316735625,8,Other
81,0.0005706948209444,8,Other
82,0.0004993579683264,8,Other
83,0.0004993579683264,8,Other
84,0.0005350263946354,8,Other
85,0.0004993579683264,8,Other
86,0.0004993579683264,8,Other
87,0.0004993579683264,8,Other
88,0.0004993579683264,8,Other
89,0.000978333978762,7,Other
90,0.000489166989381,7,Other
91,0.0005299309051627,7,Other
92,0.0005299309051627,7,Other
93,0.000489166989381,7,Other
94,0.000489166989381,7,Other
95,0.000489166989381,7,Other
96,0.0005706948209444,7,Other
97,0.000489166989381,7,Other
98,0.000489166989381,7,Other
99,0.000489166989381,7,Other
100,0.000489166989381,7,Other
101,0.000489166989381,7,Other
102,0.0005706948209444,7,Other
103,0.0005706948209444,7,Other
104,0.000489166989381,7,Other
105,0.0005299309051627,7,Other
106,0.000489166989381,7,Other
107,0.000489166989381,7,Other
108,0.000489166989381,7,Other
109,0.000489166989381,7,Other
110,0.000489166989381,7,Other
111,0.000489166989381,7,Other
112,0.000489166989381,7,Other
113,0.000489166989381,7,Other
114,0.000489166989381,7,Other
115,0.000489166989381,7,Other
116,0.000489166989381,7,Other
117,0.000489166989381,7,Other
118,0.0005706948209444,7,Other
119,0.000489166989381,7,Other
120,0.000489166989381,7,Other
121,0.000489166989381,7,Other
122,0.0005299309051627,7,Other
123,0.000489166989381,7,Other
124,0.0004755790174537,6,Other
125,0.0005231369191991,6,Other
126,0.0004755790174537,6,Other
127,0.0004755790174537,6,Other
128,0.0005231369191991,6,Other
129,0.0005231369191991,6,Other
130,0.0004755790174537,6,Other
131,0.0004755790174537,6,Other
132,0.0004755790174537,6,Other
133,0.0004755790174537,6,Other
134,0.0004755790174537,6,Other
135,0.0005706948209444,6,Other
136,0.0004755790174537,6,Other
137,0.0005231369191991,6,Other
138,0.0004755790174537,6,Other
139,0.0005231369191991,6,Other
140,0.0004755790174537,6,Other
141,0.0004755790174537,6,Other
142,0.0004755790174537,6,Other
143,0.0004755790174537,6,Other
144,0.0004755790174537,6,Other
145,0.0004755790174537,6,Other
146,0.0004755790174537,6,Other
147,0.0004755790174537,6,Other
148,0.0004755790174537,6,Other
149,0.0004755790174537,6,Other
150,0.0004755790174537,6,Other
151,0.0004755790174537,6,Other
152,0.0004755790174537,6,Other
153,0.0004755790174537,6,Other
154,0.0004755790174537,6,Other
155,0.0004755790174537,6,Other
156,0.0004755790174537,6,Other
157,0.0004755790174537,6,Other
158,0.0004755790174537,6,Other
159,0.0004755790174537,6,Other
160,0.0004755790174537,6,Other
161,0.0004755790174537,6,Other
162,0.0004755790174537,6,Other
163,0.0004755790174537,6,Other
164,0.0005231369191991,6,Other
165,0.0004755790174537,6,Other
166,0.0004755790174537,6,Other
167,0.0004755790174537,6,Other
168,0.0004755790174537,6,Other
169,0.0004755790174537,6,Other
170,0.0004755790174537,6,Other
171,0.0004755790174537,6,Other
172,0.0004755790174537,6,Other
173,0.0004755790174537,6,Other
174,0.0004755790174537,6,Other
175,0.0004755790174537,6,Other
176,0.0005706948209444,5,Other
177,0.0004565558567555,5,Other
178,0.0004565558567555,5,Other
179,0.0004565558567555,5,Other
180,0.0004565558567555,5,Other
181,0.0004565558567555,5,Other
182,0.0004565558567555,5,Other
183,0.0004565558567555,5,Other
184,0.0004565558567555,5,Other
185,0.0004565558567555,5,Other
186,0.0006848337851334,5,Other
187,0.0004565558567555,5,Other
188,0.0004565558567555,5,Other
189,0.0004565558567555,5,Other
190,0.0004565558567555,5,Other
191,0.0004565558567555,5,Other
192,0.0004565558567555,5,Other
193,0.0004565558567555,5,Other
194,0.0004565558567555,5,Other
195,0.0004565558567555,5,Other
196,0.0004565558567555,5,Other
197,0.0004565558567555,5,Other
198,0.0004565558567555,5,Other
199,0.0004565558567555,5,Other
200,0.0004565558567555,5,Other
201,0.0004565558567555,5,Other
202,0.0004565558567555,5,Other
203,0.0004565558567555,5,Other
204,0.0004565558567555,5,Other
205,0.0006848337851334,5,Other
206,0.0004565558567555,5,Other
207,0.0004565558567555,5,Other
208,0.0004565558567555,5,Other
209,0.0004565558567555,5,Other
210,0.0004565558567555,5,Other
211,0.0004565558567555,5,Other
212,0.0004565558567555,5,Other
213,0.0004565558567555,5,Other
214,0.0004565558567555,5,Other
215,0.0004565558567555,5,Other
216,0.0004565558567555,5,Other
217,0.0004565558567555,5,Other
218,0.0004565558567555,5,Other
219,0.0004565558567555,5,Other
220,0.0004565558567555,5,Other
221,0.0004565558567555,5,Other
222,0.0004565558567555,5,Other
223,0.0004565558567555,5,Other
224,0.0004565558567555,5,Other
225,0.0004565558567555,5,Other
226,0.0004565558567555,5,Other
227,0.0004565558567555,5,Other
228,0.0004565558567555,5,Other
229,0.0004565558567555,5,Other
230,0.0005706948209444,5,Other
231,0.0004565558567555,5,Other
232,0.0004565558567555,5,Other
233,0.0004565558567555,5,Other
234,0.0004565558567555,5,Other
235,0.0004565558567555,5,Other
236,0.0004565558567555,5,Other
237,0.0004565558567555,5,Other
238,0.0004565558567555,5,Other
239,0.0004565558567555,5,Other
240,0.0004565558567555,5,Other
241,0.0004565558567555,5,Other
242,0.0004565558567555,5,Other
