formatted_created_at,neg,neu,pos,compound
2020-09-02 20:36:00,0.243,0.691,0.066,-0.7501
2020-09-02 19:59:00,0.417,0.583,0.0,-0.9169
2020-09-02 18:32:00,0.499,0.415,0.086,-0.8985
2020-09-02 17:49:00,0.094,0.599,0.307,0.7717
2020-09-02 17:47:00,0.45,0.55,0.0,-0.8689
2020-09-02 16:17:00,0.0,0.879,0.121,0.296
2020-09-02 15:44:00,0.182,0.678,0.141,-0.3612
2020-09-02 15:09:00,0.138,0.78,0.082,-0.3818
2020-09-02 14:25:00,0.222,0.657,0.121,-0.4588
2020-09-02 14:17:00,0.165,0.717,0.118,-0.2732
2020-09-02 11:24:00,0.202,0.459,0.338,0.7584
2020-09-02 06:50:00,0.0,1.0,0.0,0.0
2020-09-02 05:17:00,0.127,0.38,0.494,0.8271
2020-09-02 03:33:00,0.176,0.631,0.194,-0.1531
2020-09-02 01:52:00,0.287,0.645,0.067,-0.8176
2020-09-02 00:19:00,0.0,0.645,0.355,0.9201
2020-09-01 22:46:00,0.195,0.566,0.239,0.1779
2020-09-01 18:15:00,0.124,0.643,0.233,0.4019
2020-09-01 12:51:00,0.168,0.457,0.375,0.8625
2020-09-01 10:56:00,0.172,0.32,0.508,0.9107
2020-09-01 10:00:00,0.116,0.682,0.202,0.2263
2020-09-01 08:00:00,0.0,1.0,0.0,0.0
2020-09-01 07:07:00,0.232,0.573,0.195,-0.3818
2020-09-01 06:19:00,0.361,0.475,0.165,-0.7351
2020-09-01 05:40:00,0.0,1.0,0.0,0.0
2020-09-01 04:16:00,0.142,0.688,0.17,0.1531
2020-09-01 04:07:00,0.112,0.688,0.199,0.34
2020-09-01 03:51:00,0.219,0.781,0.0,-0.4215
2020-09-01 03:36:00,0.105,0.68,0.214,0.4939
2020-09-01 03:05:00,0.0,1.0,0.0,0.0
2020-09-01 02:25:00,0.0,0.692,0.308,0.7906
2020-09-01 01:47:00,0.33,0.413,0.257,-0.5106
2020-09-01 01:09:00,0.158,0.727,0.115,-0.1042
2020-09-01 00:15:00,0.333,0.667,0.0,-0.7906
2020-08-31 22:58:00,0.159,0.513,0.328,0.5106
2020-08-31 22:28:00,0.0,0.791,0.209,0.4404
2020-08-31 21:18:00,0.141,0.725,0.134,-0.296
2020-08-31 20:43:00,0.256,0.744,0.0,-0.4767
2020-08-31 20:15:00,0.292,0.708,0.0,-0.7906
2020-08-31 17:47:00,0.357,0.599,0.044,-0.8334
2020-08-31 17:33:00,0.194,0.562,0.244,0.2023
2020-08-31 17:30:00,0.471,0.529,0.0,-0.8658
2020-08-31 16:56:00,0.27,0.609,0.122,-0.5267
2020-08-31 16:37:00,0.143,0.643,0.214,0.4588
2020-08-31 16:35:00,0.121,0.73,0.149,0.2425
2020-08-31 16:27:00,0.444,0.432,0.123,-0.7351
2020-08-31 15:30:00,0.0,0.75,0.25,0.8402
2020-08-31 15:16:00,0.145,0.855,0.0,-0.5994
2020-08-31 15:15:00,0.116,0.415,0.469,0.8979
2020-08-31 14:30:00,0.405,0.595,0.0,-0.9274
2020-08-31 14:27:00,0.372,0.628,0.0,-0.8519
2020-08-31 11:48:00,0.185,0.567,0.248,0.2732
2020-08-31 11:40:00,0.383,0.524,0.093,-0.7351
2020-08-31 10:52:00,0.35,0.554,0.095,-0.8514
