Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
2,weny news,"Young fans are mourning the loss of 'Black Panther' star Chadwick Boseman, who passed away last week from colon cancer.  https://t.co/WRKD0NhVrW",Wed Sep 02 22:53:26 +0000 2020,"Horseheads, NY",10039,0,0,2020-09-02 22:53:26+00:00,False,self,,Missing_Retweet_ID,,0.348,0.652,0.0,-0.8625,Other,0.0,5019.5,0.0,8.521284809319491,1,original,,"young fans are mourning the loss of 'black panther' star chadwick boseman, who passed away last week from colon cancer.  https://t.co/wrkd0nhvrw",Black Panther
5,aarc,The AARC was sadden by the the loss of actor Chadwick Boseman. The Black Panther' star passed away after his four year battle with colon cancer. Chadwick's impact and his legacy will live on for generations to come.  #WakandaForever #SouthCarolina #ChadwickBoseman https://t.co/ibHPqTKG83,Wed Sep 02 19:59:38 +0000 2020,University of Pennsylvania,291,0,2,2020-09-02 19:59:38+00:00,True,self,,Missing_Retweet_ID,,0.253,0.747,0.0,-0.9169,Other,0.006872852233676976,58.2,0.006849341845574793,4.0809215418899605,4,original,,the aarc was sadden by the the loss of actor chadwick boseman. the black panther' star passed away after his four year battle with colon cancer. chadwick's impact and his legacy will live on for generations to come.  #wakandaforever #southcarolina #chadwickboseman https://t.co/ibhpqtkg83,Black Panther
6,daily entertainment news,"Chadwick Boseman to get scholarship named after him - Chadwick Boseman is to have a scholarship named after him at his old school.
The 'Black Panther' star tragically passed away last week at the young age of 43 after a secret four year battle with colon cancer and his memory ...",Wed Sep 02 19:50:15 +0000 2020,,130,0,0,2020-09-02 19:50:15+00:00,False,self,,Missing_Retweet_ID,,0.192,0.808,0.0,-0.8934,Other,0.0,21.666666666666668,0.0,3.120895416507997,5,original,,"chadwick boseman to get scholarship named after him - chadwick boseman is to have a scholarship named after him at his old school.
the 'black panther' star tragically passed away last week at the young age of 43 after a secret four year battle with colon cancer and his memory ...",Black Panther
7,daily entertainment news,"Naomi Campbell: Chadwick Boseman was a humble being - Naomi Campbell says Chadwick Boseman was a ""selfless"" and ""humble being"".
The 'Black Panther' star tragically passed away last week at the age of 43 after secretly battling colon cancer for four years, and Naomi has now pai...",Wed Sep 02 19:50:02 +0000 2020,,130,0,0,2020-09-02 19:50:02+00:00,False,self,,Missing_Retweet_ID,,0.199,0.801,0.0,-0.8807,Other,0.0,18.571428571428573,0.0,2.9740707767728116,6,original,,"naomi campbell: chadwick boseman was a humble being - naomi campbell says chadwick boseman was a ""selfless"" and ""humble being"".
the 'black panther' star tragically passed away last week at the age of 43 after secretly battling colon cancer for four years, and naomi has now pai...",Black Panther
10,gerry conway stands with ukraine,"Dont recast. Rethink. Honor this tragic loss by allowing the audience to grieve the death of TChalla, and pass the mantle of Black Panther to its natural heir Shuri. https://t.co/l9jogvmtLU",Wed Sep 02 18:32:39 +0000 2020,"Thousand Oaks, CA 91362",24020,188,1201,2020-09-02 18:32:39+00:00,True,self,,Missing_Retweet_ID,,0.36,0.579,0.06,-0.9086,Other,0.057826810990840964,2402.0,0.05621662532101411,7.784473235736469,9,original,,"dont recast. rethink. honor this tragic loss by allowing the audience to grieve the death of tchalla, and pass the mantle of black panther to its natural heir shuri. https://t.co/l9jogvmtlu",Black Panther
13,mvslim,"At the weekend, the Black Panther Star, Chadwick Boseman sadly passed away after a long battle with Cancer. 

Here are some reflections from @HafsahDabiri our Chief Editor. 

https://t.co/s5fj0tji5T

#Mvslim #Muslim #ChadwickBoseman #BlackPanther",Wed Sep 02 17:47:27 +0000 2020,Worldwide,9758,1,5,2020-09-02 17:47:27+00:00,True,HafsahDabiri,@HafsahDabiri,Missing_Retweet_ID,,0.259,0.741,0.0,-0.8689,Other,0.0006148800983808157,750.6153846153846,0.0006146911370681893,6.622224736482806,12,original,,"at the weekend, the black panther star, chadwick boseman sadly passed away after a long battle with cancer. 

here are some reflections from @hafsahdabiri our chief editor. 

https://t.co/s5fj0tji5t

#mvslim #muslim #chadwickboseman #blackpanther",Black Panther
22,the islamic information,"Throwback: When Chadwick (aka Black Panther) attended one of the Islamic adresses by Omar Suleiman and was in tears.

He passed away at the age of 43 after battling with Colon Cancer.

https://t.co/sgz4MNLN0j https://t.co/cKA6tYTjPt",Wed Sep 02 15:42:03 +0000 2020,United Kingdom,7036,0,2,2020-09-02 15:42:03+00:00,False,self,,Missing_Retweet_ID,,0.213,0.787,0.0,-0.8126,Other,0.0002842524161455372,319.8181818181818,0.0002842120240816748,5.7708745508769,21,original,,"throwback: when chadwick (aka black panther) attended one of the islamic adresses by omar suleiman and was in tears.

he passed away at the age of 43 after battling with colon cancer.

https://t.co/sgz4mnln0j https://t.co/cka6tytjpt",Black Panther
26,jt,"Kevin Feige didnt find out that Chadwick Boseman had cancer until the day he passed away. 

Chadwick thought he was gonna beat cancer and be ready to start filming Black Panther 2. 

https://t.co/taJRchXE6F https://t.co/4DtMeGroXe",Wed Sep 02 15:10:56 +0000 2020,904 ➡️ 225,1449,41,50,2020-09-02 15:10:56+00:00,False,self,,Missing_Retweet_ID,,0.208,0.733,0.059,-0.8074,Other,0.06280193236714976,55.73076923076923,0.060908753086992465,4.038316730752438,25,original,,"kevin feige didnt find out that chadwick boseman had cancer until the day he passed away. 

chadwick thought he was gonna beat cancer and be ready to start filming black panther 2. 

https://t.co/tajrchxe6f https://t.co/4dtmegroxe",Black Panther
33,idragic,"I havent made a tweet in a long time but all I wanna say is 2020 needs to end. Just this month alone, mental health has been severe, Black Panther passes away, lost a couple close friends. Shit just aint going my way",Wed Sep 02 13:11:37 +0000 2020,,165,0,0,2020-09-02 13:11:37+00:00,False,self,,Missing_Retweet_ID,,0.27,0.648,0.082,-0.8625,Other,0.0,5.0,0.0,1.791759469228055,32,original,,"i havent made a tweet in a long time but all i wanna say is 2020 needs to end. just this month alone, mental health has been severe, black panther passes away, lost a couple close friends. shit just aint going my way",Black Panther
38,deha,"A few days ago when the Black Panther passed away, i watched Vidi's snapgram, he talked about his fear, his anxiety, everytime someone died of cancer. 
And I cried
I can feel his anxiety. And more than that, i salute his honestly admitted that.",Wed Sep 02 08:50:38 +0000 2020,,257,0,0,2020-09-02 08:50:38+00:00,False,self,,Missing_Retweet_ID,,0.327,0.589,0.084,-0.9153,Other,0.0,6.7631578947368425,0.0,2.049389196613434,37,original,,"a few days ago when the black panther passed away, i watched vidi's snapgram, he talked about his fear, his anxiety, everytime someone died of cancer. 
and i cried
i can feel his anxiety. and more than that, i salute his honestly admitted that.",Black Panther
