Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
3,matt con,Funko Hollywood has a really touching tribute to Chadwick Boseman right now. Well done you guys! #FunkoHollywood #Funko #ChadwickBoseman @OriginalFunko https://t.co/humjcwpxfY,Wed Sep 02 22:01:22 +0000 2020,"Hollywood, Los Angeles",579,17,159,2020-09-02 22:01:22+00:00,False,OriginalFunko,@OriginalFunko,Missing_Retweet_ID,,0.0,0.888,0.112,0.3382,Other,0.30397236614853196,193.0,0.2654152716760295,5.267858159063328,2,original,,funko hollywood has a really touching tribute to chadwick boseman right now. well done you guys! #funkohollywood #funko #chadwickboseman @originalfunko https://t.co/humjcwpxfy,Chadwick Boseman
10,gerry conway stands with ukraine,"Dont recast. Rethink. Honor this tragic loss by allowing the audience to grieve the death of TChalla, and pass the mantle of Black Panther to its natural heir Shuri. https://t.co/l9jogvmtLU",Wed Sep 02 18:32:39 +0000 2020,"Thousand Oaks, CA 91362",24020,188,1201,2020-09-02 18:32:39+00:00,True,self,,Missing_Retweet_ID,,0.36,0.579,0.06,-0.9086,Other,0.057826810990840964,2402.0,0.05621662532101411,7.784473235736469,9,original,,"dont recast. rethink. honor this tragic loss by allowing the audience to grieve the death of tchalla, and pass the mantle of black panther to its natural heir shuri. https://t.co/l9jogvmtlu",Black Panther
24,lettertab,"Today's Newsletter Pick of the Day is written by @karl_delo where he suggests his readers to watch Da 5 Bloods in honour of star Chadwick Boseman, who passed away after a battle with colon cancer last week at the age of 43.

 #ChadwickBoseman #Da5Bloods 
https://t.co/CVlfRIe1K9",Wed Sep 02 15:35:02 +0000 2020,,15,1,3,2020-09-02 15:35:02+00:00,False,karl_delo,@karl_delo,Missing_Retweet_ID,,0.138,0.789,0.073,-0.5106,Other,0.26666666666666666,0.625,0.2363887780642304,0.4855078157817008,23,original,,"today's newsletter pick of the day is written by @karl_delo where he suggests his readers to watch da 5 bloods in honour of star chadwick boseman, who passed away after a battle with colon cancer last week at the age of 43.

 #chadwickboseman #da5bloods 
https://t.co/cvlfrie1k9",Chadwick Boseman
26,jt,"Kevin Feige didnt find out that Chadwick Boseman had cancer until the day he passed away. 

Chadwick thought he was gonna beat cancer and be ready to start filming Black Panther 2. 

https://t.co/taJRchXE6F https://t.co/4DtMeGroXe",Wed Sep 02 15:10:56 +0000 2020,904 ➡️ 225,1449,41,50,2020-09-02 15:10:56+00:00,False,self,,Missing_Retweet_ID,,0.208,0.733,0.059,-0.8074,Other,0.06280193236714976,55.73076923076923,0.060908753086992465,4.038316730752438,25,original,,"kevin feige didnt find out that chadwick boseman had cancer until the day he passed away. 

chadwick thought he was gonna beat cancer and be ready to start filming black panther 2. 

https://t.co/tajrchxe6f https://t.co/4dtmegroxe",Black Panther
47,filmy reviewz,"Wakanda and Chadwick Boseman Forever! 

Huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

Check out latest filmy tribute to MCU Black Panther Chadwick 

https://t.co/0cTuwBWKXW

Very sad news for #BlackPanther fans.
RIP",Wed Sep 02 01:52:46 +0000 2020,,2,0,3,2020-09-02 01:52:46+00:00,True,self,,Missing_Retweet_ID,,0.213,0.739,0.047,-0.8436,Other,1.5,0.0425531914893617,0.9162907318741551,0.04167269640056802,46,original,,"wakanda and chadwick boseman forever! 

huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

check out latest filmy tribute to mcu black panther chadwick 

https://t.co/0ctuwbwkxw

very sad news for #blackpanther fans.
rip",Marvel
63,john stud,@KyeKapri @PlayAvenger They were going to show black panther but it isnt the right time because Chadwick just passed away but hell probably get shown in the next war table,Tue Sep 01 19:04:37 +0000 2020,,8,0,2,2020-09-01 19:04:37+00:00,False,KyeKapri,"@KyeKapri, @PlayAvenger",Missing_Retweet_ID,KyeKapri,0.296,0.704,0.0,-0.9294,Other,0.25,0.12698412698412698,0.22314355131420976,0.11954515064978273,62,original,,@kyekapri @playavenger they were going to show black panther but it isnt the right time because chadwick just passed away but hell probably get shown in the next war table,Black Panther
68,𝐇𝐞𝐚𝐝𝐬𝐡𝐫𝐢𝐧𝐤𝐞𝐫‎ ‎✪,"@SaegerBomb @PlayAvengers OMG you really don't get it??? Black Panther, literally, was gonna be announced as a first post launch hero. People are now asking mostly for Black Panther only because Chadwick pass away and that is just shameful.",Tue Sep 01 17:33:29 +0000 2020,,32,0,6,2020-09-01 17:33:29+00:00,False,SaegerBomb,"@SaegerBomb, @PlayAvengers",Missing_Retweet_ID,SaegerBomb,0.074,0.831,0.096,0.2359,1.0,0.1875,0.47058823529411764,0.17185025692665923,0.3856624808119847,67,original,,"@saegerbomb @playavengers omg you really don't get it??? black panther, literally, was gonna be announced as a first post launch hero. people are now asking mostly for black panther only because chadwick pass away and that is just shameful.",Marvel
71,andrew 🫧,#AvengersGame im glad they didnt show black panther 4 actual days after chadwick passed away https://t.co/PlqtUI1nmf,Tue Sep 01 17:22:02 +0000 2020,,201,11,110,2020-09-01 17:22:02+00:00,False,self,,Missing_Retweet_ID,,0.0,0.824,0.176,0.4588,Other,0.6019900497512438,2.8309859154929575,0.4712466374853326,1.3431221892546819,70,original,,#avengersgame im glad they didnt show black panther 4 actual days after chadwick passed away https://t.co/plqtui1nmf,Marvel
98,filmy reviewz,"Wakanda and Chadwick Boseman Forever! 
Huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

Check out latest filmy tribute to MCU Black Panther Chadwick 

https://t.co/0cTuwBWKXW
#BlackPanther
Will surely miss you
Love from India ",Tue Sep 01 06:23:32 +0000 2020,,2,0,2,2020-09-01 06:23:32+00:00,False,self,,Missing_Retweet_ID,,0.157,0.66,0.183,0.3382,Other,1.0,0.02040816326530612,0.6931471805599453,0.020202707317519445,97,original,,"wakanda and chadwick boseman forever! 
huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

check out latest filmy tribute to mcu black panther chadwick 

https://t.co/0ctuwbwkxw
#blackpanther
will surely miss you
love from india ",Marvel
99,filmy reviewz,"Wakanda and Chadwick Boseman Forever! 

Huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

Very sad news for #BlackPanther fans.
RIP 
Will surely miss you.
Chadwick https://t.co/JuAmNm06MB",Tue Sep 01 06:19:58 +0000 2020,,2,0,3,2020-09-01 06:19:58+00:00,True,self,,Missing_Retweet_ID,,0.259,0.628,0.113,-0.7773,Other,1.5,0.020202020202020204,0.9162907318741551,0.020000666706669525,98,original,,"wakanda and chadwick boseman forever! 

huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

very sad news for #blackpanther fans.
rip 
will surely miss you.
chadwick https://t.co/juamnm06mb",Marvel
