Node,Hop Distance,Influence Decay
Matt Con,1,0.000256812669425
Matt Con,2,0.0002311314024825
Matt Con,3,0.0002080182622342
Matt Con,4,0.0001872164360108
@OriginalFunko,1,0.000256812669425
@OriginalFunko,2,0.0002311314024825
@OriginalFunko,3,0.0002080182622342
@OriginalFunko,4,0.0001872164360108
Ifeanyi Nsofor,1,0.00051362533885
Ifeanyi Nsofor,2,0.000462262804965
Ifeanyi Nsofor,3,0.0004160365244685
Ifeanyi Nsofor,4,0.0003744328720216
@chadwickboseman,1,0.092452560993009
@chadwickboseman,2,0.0832073048937081
@chadwickboseman,3,0.0748865744043373
@chadwickboseman,4,0.0673979169639035
@NPRGoatsandSoda,1,0.000256812669425
@NPRGoatsandSoda,2,0.0002311314024825
@NPRGoatsandSoda,3,0.0002080182622342
@NPRGoatsandSoda,4,0.0001872164360108
MVSLIM,1,0.000256812669425
MVSLIM,2,0.0002311314024825
MVSLIM,3,0.0002080182622342
MVSLIM,4,0.0001872164360108
@HafsahDabiri,1,0.000256812669425
@HafsahDabiri,2,0.0002311314024825
@HafsahDabiri,3,0.0002080182622342
@HafsahDabiri,4,0.0001872164360108
ScreenTime,1,0.00051362533885
ScreenTime,2,0.000462262804965
ScreenTime,3,0.0004160365244685
ScreenTime,4,0.0003744328720216
@THR,1,0.0038521900413753
@THR,2,0.0034669710372378
@THR,3,0.003120273933514
@THR,4,0.0028082465401626
@ComicBook,1,0.0020545013554002
@ComicBook,2,0.0018490512198601
@ComicBook,3,0.0016641460978741
@ComicBook,4,0.0014977314880867
Rhai  Free ,1,0.000770438008275
Rhai  Free ,2,0.0006933942074475
Rhai  Free ,3,0.0006240547867028
Rhai  Free ,4,0.0005616493080325
@jaeminohsexc,1,0.000256812669425
@jaeminohsexc,2,0.0002311314024825
@jaeminohsexc,3,0.0002080182622342
@jaeminohsexc,4,0.0001872164360108
@chansoldior,1,0.000256812669425
@chansoldior,2,0.0002311314024825
@chansoldior,3,0.0002080182622342
@chansoldior,4,0.0001872164360108
jaeminohsexc,1,0.000256812669425
jaeminohsexc,2,0.0002311314024825
jaeminohsexc,3,0.0002080182622342
jaeminohsexc,4,0.0001872164360108
Darth Spidey,1,0.00051362533885
Darth Spidey,2,0.000462262804965
Darth Spidey,3,0.0004160365244685
Darth Spidey,4,0.0003744328720216
@Nh3engineer,1,0.000256812669425
@Nh3engineer,2,0.0002311314024825
@Nh3engineer,3,0.0002080182622342
@Nh3engineer,4,0.0001872164360108
