Node,Hop Distance,Influence Decay
Matt Con,1,0.000256812669425025
Matt Con,2,0.0002311314024825225
Matt Con,3,0.00020801826223427027
Matt Con,4,0.0001872164360108432
@OriginalFunko,1,0.000256812669425025
@OriginalFunko,2,0.0002311314024825225
@OriginalFunko,3,0.00020801826223427027
@OriginalFunko,4,0.0001872164360108432
Ifeanyi Nsofor,1,0.00051362533885005
Ifeanyi Nsofor,2,0.000462262804965045
Ifeanyi Nsofor,3,0.00041603652446854054
Ifeanyi Nsofor,4,0.0003744328720216864
@chadwickboseman,1,0.092452560993009
@chadwickboseman,2,0.0832073048937081
@chadwickboseman,3,0.0748865744043373
@chadwickboseman,4,0.06739791696390356
@NPRGoatsandSoda,1,0.000256812669425025
@NPRGoatsandSoda,2,0.0002311314024825225
@NPRGoatsandSoda,3,0.00020801826223427027
@NPRGoatsandSoda,4,0.0001872164360108432
MVSLIM,1,0.000256812669425025
MVSLIM,2,0.0002311314024825225
MVSLIM,3,0.00020801826223427027
MVSLIM,4,0.0001872164360108432
@HafsahDabiri,1,0.000256812669425025
@HafsahDabiri,2,0.0002311314024825225
@HafsahDabiri,3,0.00020801826223427027
@HafsahDabiri,4,0.0001872164360108432
ScreenTime,1,0.00051362533885005
ScreenTime,2,0.000462262804965045
ScreenTime,3,0.00041603652446854054
ScreenTime,4,0.0003744328720216864
@THR,1,0.0038521900413753746
@THR,2,0.0034669710372378375
@THR,3,0.0031202739335140536
@THR,4,0.002808246540162648
@ComicBook,1,0.0020545013554002
@ComicBook,2,0.00184905121986018
@ComicBook,3,0.0016641460978741621
@ComicBook,4,0.0014977314880867457
Rhai  Free ,1,0.000770438008275075
Rhai  Free ,2,0.0006933942074475674
Rhai  Free ,3,0.0006240547867028107
Rhai  Free ,4,0.0005616493080325296
@jaeminohsexc,1,0.000256812669425025
@jaeminohsexc,2,0.0002311314024825225
@jaeminohsexc,3,0.00020801826223427027
@jaeminohsexc,4,0.0001872164360108432
@chansoldior,1,0.000256812669425025
@chansoldior,2,0.0002311314024825225
@chansoldior,3,0.00020801826223427027
@chansoldior,4,0.0001872164360108432
jaeminohsexc,1,0.000256812669425025
jaeminohsexc,2,0.0002311314024825225
jaeminohsexc,3,0.00020801826223427027
jaeminohsexc,4,0.0001872164360108432
Darth Spidey,1,0.00051362533885005
Darth Spidey,2,0.000462262804965045
Darth Spidey,3,0.00041603652446854054
Darth Spidey,4,0.0003744328720216864
@Nh3engineer,1,0.000256812669425025
@Nh3engineer,2,0.0002311314024825225
@Nh3engineer,3,0.00020801826223427027
@Nh3engineer,4,0.0001872164360108432
Nh3engineer,1,0.000256812669425025
Nh3engineer,2,0.0002311314024825225
Nh3engineer,3,0.00020801826223427027
Nh3engineer,4,0.0001872164360108432
Lettertab,1,0.000256812669425025
Lettertab,2,0.0002311314024825225
Lettertab,3,0.00020801826223427027
Lettertab,4,0.0001872164360108432
@karldelo,1,0.000256812669425025
@karldelo,2,0.0002311314024825225
@karldelo,3,0.00020801826223427027
@karldelo,4,0.0001872164360108432
Donnell Wilson ,1,0.00051362533885005
Donnell Wilson ,2,0.000462262804965045
Donnell Wilson ,3,0.00041603652446854054
Donnell Wilson ,4,0.0003744328720216864
@Jonesness,1,0.000256812669425025
@Jonesness,2,0.0002311314024825225
@Jonesness,3,0.00020801826223427027
@Jonesness,4,0.0001872164360108432
Jonesness,1,0.000256812669425025
Jonesness,2,0.0002311314024825225
Jonesness,3,0.00020801826223427027
Jonesness,4,0.0001872164360108432
SEVENTEEN WEVERSE,1,0.000256812669425025
SEVENTEEN WEVERSE,2,0.0002311314024825225
SEVENTEEN WEVERSE,3,0.00020801826223427027
SEVENTEEN WEVERSE,4,0.0001872164360108432
@pledis17,1,0.00051362533885005
@pledis17,2,0.000462262804965045
@pledis17,3,0.00041603652446854054
@pledis17,4,0.0003744328720216864
Movie Plus News,1,0.0010272506777001
Movie Plus News,2,0.00092452560993009
Movie Plus News,3,0.0008320730489370811
Movie Plus News,4,0.0007488657440433728
@HollywoodRecs,1,0.000256812669425025
@HollywoodRecs,2,0.0002311314024825225
@HollywoodRecs,3,0.00020801826223427027
@HollywoodRecs,4,0.0001872164360108432
@netflix,1,0.000770438008275075
@netflix,2,0.0006933942074475674
@netflix,3,0.0006240547867028107
@netflix,4,0.0005616493080325296
@latimesmovies,1,0.000256812669425025
@latimesmovies,2,0.0002311314024825225
@latimesmovies,3,0.00020801826223427027
@latimesmovies,4,0.0001872164360108432
ishu | Bright After Rain ,1,0.0010272506777001
ishu | Bright After Rain ,2,0.00092452560993009
ishu | Bright After Rain ,3,0.0008320730489370811
ishu | Bright After Rain ,4,0.0007488657440433728
@niceweirdo14,1,0.000256812669425025
@niceweirdo14,2,0.0002311314024825225
@niceweirdo14,3,0.00020801826223427027
@niceweirdo14,4,0.0001872164360108432
@1woo17,1,0.000256812669425025
@1woo17,2,0.0002311314024825225
@1woo17,3,0.00020801826223427027
@1woo17,4,0.0001872164360108432
niceweirdo14,1,0.000256812669425025
niceweirdo14,2,0.0002311314024825225
niceweirdo14,3,0.00020801826223427027
niceweirdo14,4,0.0001872164360108432
worlds biggest thunder fan,1,0.000770438008275075
worlds biggest thunder fan,2,0.0006933942074475674
worlds biggest thunder fan,3,0.0006240547867028107
worlds biggest thunder fan,4,0.0005616493080325296
@LunaYenitze,1,0.000256812669425025
@LunaYenitze,2,0.0002311314024825225
@LunaYenitze,3,0.00020801826223427027
@LunaYenitze,4,0.0001872164360108432
@Ninety9us,1,0.000256812669425025
@Ninety9us,2,0.0002311314024825225
@Ninety9us,3,0.00020801826223427027
@Ninety9us,4,0.0001872164360108432
LunaYenitze,1,0.000256812669425025
LunaYenitze,2,0.0002311314024825225
LunaYenitze,3,0.00020801826223427027
LunaYenitze,4,0.0001872164360108432
Illastr8 Radio,1,0.000256812669425025
Illastr8 Radio,2,0.0002311314024825225
Illastr8 Radio,3,0.00020801826223427027
Illastr8 Radio,4,0.0001872164360108432
Mampho Ngakane ,1,0.00051362533885005
Mampho Ngakane ,2,0.000462262804965045
Mampho Ngakane ,3,0.00041603652446854054
Mampho Ngakane ,4,0.0003744328720216864
@fanamokoena,1,0.000256812669425025
@fanamokoena,2,0.0002311314024825225
@fanamokoena,3,0.00020801826223427027
@fanamokoena,4,0.0001872164360108432
fanamokoena,1,0.000256812669425025
fanamokoena,2,0.0002311314024825225
fanamokoena,3,0.00020801826223427027
fanamokoena,4,0.0001872164360108432
RodaMoon  MFF2024 BlackLivesMatter,1,0.000770438008275075
RodaMoon  MFF2024 BlackLivesMatter,2,0.0006933942074475674
RodaMoon  MFF2024 BlackLivesMatter,3,0.0006240547867028107
RodaMoon  MFF2024 BlackLivesMatter,4,0.0005616493080325296
@MyEcho4,1,0.000256812669425025
@MyEcho4,2,0.0002311314024825225
@MyEcho4,3,0.00020801826223427027
@MyEcho4,4,0.0001872164360108432
@gonzalezratili1,1,0.000256812669425025
@gonzalezratili1,2,0.0002311314024825225
@gonzalezratili1,3,0.00020801826223427027
@gonzalezratili1,4,0.0001872164360108432
MyEcho4,1,0.000256812669425025
MyEcho4,2,0.0002311314024825225
MyEcho4,3,0.00020801826223427027
MyEcho4,4,0.0001872164360108432
Haliee ,1,0.00051362533885005
Haliee ,2,0.000462262804965045
Haliee ,3,0.00041603652446854054
Haliee ,4,0.0003744328720216864
@breeedior,1,0.000256812669425025
@breeedior,2,0.0002311314024825225
@breeedior,3,0.00020801826223427027
@breeedior,4,0.0001872164360108432
breeedior,1,0.000256812669425025
breeedior,2,0.0002311314024825225
breeedior,3,0.00020801826223427027
breeedior,4,0.0001872164360108432
gock40spazz,1,0.000770438008275075
gock40spazz,2,0.0006933942074475674
gock40spazz,3,0.0006240547867028107
gock40spazz,4,0.0005616493080325296
@AngelAl3xander,1,0.00051362533885005
@AngelAl3xander,2,0.000462262804965045
@AngelAl3xander,3,0.00041603652446854054
@AngelAl3xander,4,0.0003744328720216864
@NariSpaceCamp,1,0.00051362533885005
@NariSpaceCamp,2,0.000462262804965045
@NariSpaceCamp,3,0.00041603652446854054
@NariSpaceCamp,4,0.0003744328720216864
AngelAl3xander,1,0.00051362533885005
AngelAl3xander,2,0.000462262804965045
AngelAl3xander,3,0.00041603652446854054
AngelAl3xander,4,0.0003744328720216864
KevinDeanHatesLiberals,1,0.000256812669425025
KevinDeanHatesLiberals,2,0.0002311314024825225
KevinDeanHatesLiberals,3,0.00020801826223427027
KevinDeanHatesLiberals,4,0.0001872164360108432
@KekePalmer,1,0.000256812669425025
@KekePalmer,2,0.0002311314024825225
@KekePalmer,3,0.00020801826223427027
@KekePalmer,4,0.0001872164360108432
Spencer Paysinger,1,0.00051362533885005
Spencer Paysinger,2,0.000462262804965045
Spencer Paysinger,3,0.00041603652446854054
Spencer Paysinger,4,0.0003744328720216864
@mikeham21,1,0.000256812669425025
@mikeham21,2,0.0002311314024825225
@mikeham21,3,0.00020801826223427027
@mikeham21,4,0.0001872164360108432
mikeham21,1,0.000256812669425025
mikeham21,2,0.0002311314024825225
mikeham21,3,0.00020801826223427027
mikeham21,4,0.0001872164360108432
John Stud,1,0.000770438008275075
John Stud,2,0.0006933942074475674
John Stud,3,0.0006240547867028107
John Stud,4,0.0005616493080325296
@KyeKapri,1,0.000256812669425025
@KyeKapri,2,0.0002311314024825225
@KyeKapri,3,0.00020801826223427027
@KyeKapri,4,0.0001872164360108432
@PlayAvenger,1,0.000256812669425025
@PlayAvenger,2,0.0002311314024825225
@PlayAvenger,3,0.00020801826223427027
@PlayAvenger,4,0.0001872164360108432
KyeKapri,1,0.000256812669425025
KyeKapri,2,0.0002311314024825225
KyeKapri,3,0.00020801826223427027
KyeKapri,4,0.0001872164360108432
BradleyJH,1,0.000770438008275075
BradleyJH,2,0.0006933942074475674
BradleyJH,3,0.0006240547867028107
BradleyJH,4,0.0005616493080325296
@AvengersLegend,1,0.000256812669425025
@AvengersLegend,2,0.0002311314024825225
@AvengersLegend,3,0.00020801826223427027
@AvengersLegend,4,0.0001872164360108432
@PlayAvengers,1,0.002311314024825225
@PlayAvengers,2,0.0020801826223427024
@PlayAvengers,3,0.0018721643601084324
@PlayAvengers,4,0.0016849479240975888
AvengersLegend,1,0.000256812669425025
AvengersLegend,2,0.0002311314024825225
AvengersLegend,3,0.00020801826223427027
AvengersLegend,4,0.0001872164360108432
