,engagement_score,engagement_score,engagement_score,Followers Count,Followers Count,Followers Count,retweet_count,retweet_count,retweet_count,Favorite Count,Favorite Count,Favorite Count
,mean,median,std,mean,median,std,mean,median,std,mean,median,std
Simplified Community,,,,,,,,,,,,
0,0.027120334632697366,0.0012033764048442054,0.11886829853288013,7690.665289256199,299.0,69413.49462579678,0.6074380165289256,0.0,1.947129615859043,5.392561983471074,1.0,20.538972832818644
1,0.019250304752835377,2.3972299930648413e-05,0.10813397891360105,43196.82183908046,320.0,533637.1414085607,3.8045977011494254,0.0,52.314409513796214,20.528735632183906,0.0,262.6196815826886
2,0.009020800809535445,0.0009940357852882703,0.030640895810514136,908.6746987951807,530.0,1700.8190143921531,0.21686746987951808,0.0,0.7970707464864681,2.289156626506024,1.0,4.799720826439214
3,0.07736376075957659,0.0,0.2682886819384413,70079.48076923077,182.5,287686.33797800634,32.53846153846154,0.0,126.7552004639082,384.75,0.0,1540.109518323737
4,0.16867330743623604,0.0027247956403269754,0.818248168147557,473.46153846153845,208.0,647.0302948310456,0.23076923076923078,0.0,0.5831646179767073,11.102564102564102,1.0,34.644658486892524
5,0.0759004459668657,0.0006791376359909426,0.2971468224556405,490.9761904761905,281.5,784.9885035074029,0.19047619047619047,0.0,0.8035923987456072,10.166666666666666,1.0,50.43223739936283
6,0.22276197871867437,0.0036084311279688417,0.9816187412688225,238.8846153846154,187.5,292.9524639832308,0.0,0.0,0.0,1.4230769230769231,1.0,2.335347116350406
8,0.012873513409590313,0.0005958142340896769,0.04375145482699926,1356.65,329.0,3882.7005967089726,0.05,0.0,0.22360679774997894,2.05,1.0,5.510516261992538
13,0.019803954072276066,0.0,0.09127881325805536,2701.5,577.0,8434.73081454252,0.26666666666666666,0.0,1.2847469449832047,1.8666666666666667,0.0,7.798025096285524
15,0.0018472404565789322,0.0,0.005118518078414646,1079.6,320.0,1732.1016858140863,0.0,0.0,0.0,0.48,0.0,1.2622730819174324
Other,0.07580226551967163,0.00017781992768656275,1.6727716907091412,8748.853850818678,420.0,80476.56569978099,1.9818071558520316,0.0,34.248232310477,22.321406913280775,1.0,488.4682925723065
