PCA1,PCA2,Community,t-SNE1,t-SNE2,Simplified Community,Username,engagement_score,retweet_count,Favorite Count,Followers Count
-13200.543427234481,0.24080799426887894,504,15.2217455,-37.10782,Other,matt con,0.30344827586206896,17,159,579
7539.456572771083,-0.0612735096582486,1,73.89745,-4.388172,1,ifeanyi nsofor,0.0009849906191369607,7,14,21319
-4021.5434272289076,-0.06185649773667652,505,70.41418,8.639533,Other,mvslim,0.0006148170919151552,1,5,9758
806583.4565727708,-0.04221794205153847,3,74.36917,-18.025518,3,screentime,0.0053317795515161566,478,3896,820363
-10427.543427228928,-0.0607997939994866,287,47.752876,11.446989,Other,rhai ᵕ̈ free 🇵🇸,0.001789442290486132,0,6,3352
-6790.543427228897,-0.06252228649992544,506,66.28261,15.591352,Other,darth spidey,0.0,0,0,6989
-13764.543427233497,0.1873493363112404,507,-52.31717,27.716475,Other,lettertab,0.25,1,3,15
-12547.54342722891,-0.06181723118010281,508,25.854883,1.2067864,Other,donnell wilson 🇺🇸🇬🇧,0.0008110300081103001,0,1,1232
156111.45657277096,-0.05316072540893106,98,72.73382,-14.337349,Other,seventeen weverse,0.006362865820638994,121,960,169891
-13774.543427228895,-0.06265084776846827,3,-43.574924,40.020462,3,movie plus news,0.0,0,0,5
-13299.543427228895,-0.06264210398230592,98,-1.0628217,-31.830652,Other,ishu\⁷ 𖧷| bright after rain🌧🌈 🍉,0.0,0,0,480
-13697.543427228895,-0.06264943035471142,288,-36.23987,-22.012444,Other,world’s biggest thunder fan,0.0,0,0,82
-12152.54342722894,-0.06016398758271775,1,40.089756,-33.860123,1,illastr8 radio,0.002457002457002457,1,3,1627
-12878.543427228915,-0.061525706776459584,509,26.337233,37.687878,Other,mampho ngakane 🇨🇩🇸🇩🇵🇸,0.0011086474501108647,0,1,901
-13174.543427228895,-0.0626398029859474,289,16.73418,-31.691643,Other,rodamoon 🔜 mff2024 #blacklivesmatter,0.0,0,0,605
-12951.543427228895,-0.06263569800844382,510,17.831213,41.158443,Other,haliee 👸🏾,0.0,0,0,828
-11439.543427228911,-0.06175352940253995,225,47.536793,-9.013235,Other,gock40spazz👸🏿,0.0008543357539513029,0,2,2340
-13773.543427228895,-0.0626508293604974,511,-44.66658,39.04894,Other,kevindeanhatesliberals,0.0,0,0,6
13344.456572771098,-0.062151642006496234,512,74.21938,-6.48192,Other,spencer paysinger,0.0,0,0,27124
-13771.543427232986,0.15957142967766652,290,-46.239403,36.347305,Other,john stud,0.2222222222222222,0,2,8
-13722.543427228895,-0.06264989055398312,12,-46.25241,-37.922523,Other,bradleyjh,0.0,0,0,57
-13193.543427228895,-0.0626401527373939,513,15.654538,-35.67969,Other,zee♈,0.0,0,0,586
6432.4565727711015,-0.06227887790113655,1,74.326744,-3.6212718,1,dt next,0.0,0,0,20212
-13747.543427232242,0.11916783106492697,12,-67.79414,-2.4073448,Other,𝐇𝐞𝐚𝐝𝐬𝐡𝐫𝐢𝐧𝐤𝐞𝐫‎ ‎✪,0.18181818181818182,0,6,32
-13273.543427228968,-0.05869685219952094,291,0.4345175,-36.69881,Other,bozz 🇵🇸,0.0039447731755424065,0,2,506
-13733.543427229679,-0.020096901552300976,12,-55.419136,-29.314482,Other,sk8rxpunk,0.0425531914893617,0,2,46
-13614.543427228895,-0.06264790249312938,79,-26.229012,-6.6189227,Other,last_of_the_era,0.0,0,0,165
-12569.543427228926,-0.06097713850048385,514,26.187181,3.1076407,Other,💰qu’ran cook aka the dreamkiller👑,0.0016515276630883566,0,2,1210
-13749.543427228895,-0.06265038756919657,515,-67.20953,0.0975876,Other,martha mckinney,0.0,0,0,30
-13761.543427228895,-0.06265060846484698,2,-54.930183,24.075588,2,xad,0.0,0,0,18
-13778.543427228895,-0.06265092140035174,1,-36.66856,47.66433,1,theheartbreaksoldier,0.0,0,0,1
-13690.543427229713,-0.018204857054470905,516,-39.273685,-17.808378,Other,amanda gibbs,0.044444444444444446,1,3,89
-13349.543427228895,-0.06264302438084932,517,1.994867,-19.189276,Other,treestand🌳,0.0,0,0,430
-13672.543427228895,-0.06264897015543971,0,-46.108013,-6.5879707,0,ryan aaron,0.0,0,0,107
-10104.54342722894,-0.06013497713126917,518,49.06996,15.009136,Other,carlos galvez,0.0024483133841131663,0,9,3675
-13052.543427228895,-0.06263755721350149,519,12.020433,29.82554,Other,nolan kehler,0.0,0,0,727
-13766.543427228895,-0.06265070050470133,0,-50.78752,30.323376,0,cv 4 seasons pub,0.0,0,0,13
-12986.543427228895,-0.06263634228742421,1,13.988901,38.194874,1,dawn ornelas,0.0,0,0,793
247167.45657277104,-0.05726111132220032,520,72.894066,-15.451641,Other,thewrap,0.0005863237120039242,38,115,260947
247167.45657277104,-0.05748337782740442,520,72.894066,-15.451641,Other,thewrap,0.0003640572067998222,26,69,260947
-13528.54342722904,-0.05470981147112678,521,-19.322182,24.442276,Other,mikey d,0.007936507936507936,0,2,251
-13101.543427228895,-0.06263845920407403,522,12.830647,23.725443,Other,skyz,0.0,0,0,678
-13433.543427229,-0.05688088188959533,80,3.168472,7.8703604,Other,quency phillips,0.005763688760806916,0,2,346
-13670.543427228895,-0.06264893333949799,79,-46.609726,-5.429543,Other,awaken_gate6%,0.0,0,0,109
-12546.54342722891,-0.06181787000876736,0,25.852322,1.1249008,0,xxnonxfictionxx,0.0008103727714748784,0,1,1233
-13753.543427228895,-0.06265046120108003,12,-66.1022,4.8502364,Other,mya tshimanga,0.0,0,0,26
-12775.543427228895,-0.06263245820557103,523,30.539135,25.02086,Other,trisa,0.0,0,0,1004
447283.456572771,-0.05414418546933484,524,73.37735,-16.880817,Other,947 music.life,1.9520066628494093e-05,1,8,461063
-2611.5434272289094,-0.06181862487751796,525,71.85094,5.719459,Other,reset with sasha-ann simons,0.0006267347121497001,2,5,11168
-12416.543427228895,-0.06262584974402939,526,29.461159,-27.966158,Other,dave king us,0.0,0,0,1363
-13761.543427228895,-0.06265060846484698,527,-54.73989,23.970928,Other,jonathan rand,0.0,0,0,18
-11460.543427228904,-0.06217721724112086,99,47.855667,-9.605762,Other,mickey ⁷ ⟭⟬ 🇵🇸 lia is back y'all!,0.0004310344827586207,0,1,2319
-13332.543427228977,-0.05817842573105885,0,-0.0059534227,-24.402115,0,dollar store joe burrow,0.004464285714285714,0,2,447
-12357.543427228948,-0.059813800919004664,1,31.72945,-31.591152,1,novo health africa,0.0028109627547434997,0,4,1422
-13626.543427228895,-0.06264812338877979,1,-30.078642,2.0443397,1,the brown identity,0.0,0,0,153
-12289.543427228895,-0.06262351193172913,13,34.60689,-33.826748,13,ross the movie reviewer,0.0,0,0,1490
-13419.543427228946,-0.05987422983631702,528,4.722767,1.4157292,Other,pete in leander,0.002770083102493075,0,1,360
-13623.543427228895,-0.06264806816486718,529,-29.1158,0.296058,Other,lady falcon 🪶💜,0.0,0,0,156
327837.4565727711,-0.05630684634604914,1,73.07384,-16.066492,1,breakfast television,5.561767822538625e-05,1,18,341617
-12553.543427228895,-0.06262837163603831,530,25.911985,1.7063673,Other,mel,0.0,0,0,1226
-13778.543427228895,-0.06265092140035174,0,-36.66856,47.66433,0,anthonysetarorock,0.0,0,0,1
447283.456572771,-0.05415502995079511,524,73.37735,-16.880817,Other,947 music.life,8.675585168219596e-06,2,2,461063
-13578.543427228986,-0.05769674475667317,1,-11.058575,-5.332454,1,anna😁,0.0049504950495049506,0,1,201
-13607.543427228895,-0.06264777363733329,531,-23.03595,-11.021098,Other,patrick howard 🏳️‍🌈,0.0,0,0,172
-13763.543427228895,-0.06265064528078872,532,-53.289425,26.728085,Other,iamdaniel,0.0,0,0,16
-12416.543427228895,-0.06262584974402939,2,29.461159,-27.966158,2,legendarymcu⚡🔥🌟,0.0,0,0,1363
