Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,sentiment,neg,neu,pos,compound,Original_Tweeter,Community,adjusted_sentiment,cleaned_text
4,Squidkid,"Recently I’ve heard very tragic news that Chadwick Boseman, the Actor who played Black Panther MCU movies has unfortunately passed away, this is really sad to hear. First my Grandad, then Stefan Karl, then Stephen Hilenberg, then Stan Lee, and now Chadwick Boseman....",Wed Sep 02 20:36:02 +0000 2020,,26,0,1,2020-09-02 20:36:00,True,"{'neg': 0.243, 'neu': 0.691, 'pos': 0.066, 'compound': -0.7501}",0.243,0.691,0.066,-0.7501,self,Other,neg,recently ive heard tragic news chadwick boseman actor played black panther mcu movies unfortunately passed away really sad hear first grandad stefan karl stephen hilenberg stan lee chadwick boseman
5,AARC,The AARC was sadden by the the loss of actor Chadwick Boseman. The ‘Black Panther' star passed away after his four year battle with colon cancer. Chadwick's impact and his legacy will live on for generations to come.  #WakandaForever #SouthCarolina #ChadwickBoseman https://t.co/ibHPqTKG83,Wed Sep 02 19:59:38 +0000 2020,University of Pennsylvania,291,0,2,2020-09-02 19:59:00,True,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.9169}",0.417,0.583,0.0,-0.9169,self,Other,neg,aarc sadden loss actor chadwick boseman black panther star passed away four year battle colon cancer chadwicks impact legacy live generations come
10,Gerry Conway Stands With Ukraine,"Don’t recast. Rethink. Honor this tragic loss by allowing the audience to grieve the death of T’Challa, and pass the mantle of Black Panther to its natural heir— Shuri. https://t.co/l9jogvmtLU",Wed Sep 02 18:32:39 +0000 2020,"Thousand Oaks, CA 91362",24020,188,1201,2020-09-02 18:32:00,True,"{'neg': 0.499, 'neu': 0.415, 'pos': 0.086, 'compound': -0.8985}",0.499,0.415,0.086,-0.8985,self,Other,neg,dont recast rethink honor tragic loss allowing audience grieve death tchalla pass mantle black panther natural heir shuri
12,Ifeanyi Nsofor,"In my Igbo culture, when a great king passes on, we say, ""Oke osisi adaala n'obodo,"" which means ""a great tree has fallen in the land.""

My tribute to @chadwickboseman, the Black Panther. Via @NPRGoatsandSoda #WakandaForever #Wakanda 
https://t.co/z6HVDq5I3j",Wed Sep 02 17:49:26 +0000 2020,Global,21319,7,14,2020-09-02 17:49:00,True,"{'neg': 0.094, 'neu': 0.599, 'pos': 0.307, 'compound': 0.7717}",0.094,0.599,0.307,0.7717,chadwickboseman,Other,pos,igbo culture great king passes say oke osisi adaala nobodo means great tree fallen land tribute black panther via
13,MVSLIM,"At the weekend, the Black Panther Star, Chadwick Boseman sadly passed away after a long battle with Cancer. 

Here are some reflections from @HafsahDabiri our Chief Editor. 

https://t.co/s5fj0tji5T

#Mvslim #Muslim #ChadwickBoseman #BlackPanther",Wed Sep 02 17:47:27 +0000 2020,Worldwide,9758,1,5,2020-09-02 17:47:00,True,"{'neg': 0.45, 'neu': 0.55, 'pos': 0.0, 'compound': -0.8689}",0.45,0.55,0.0,-0.8689,HafsahDabiri,Other,neg,weekend black panther star chadwick boseman sadly passed away long battle cancer reflections chief editor
19,Rhai ᵕ̈ Free 🇵🇸,"@jaeminohsexc @chansoldior woozi had a little figurine of black panther which is being portrayed by chadwick who passed away :( and woozi replied to op ""RIP"" and this woogyuloona made a JOKE abt it https://t.co/gNsB6x1HhM",Wed Sep 02 16:17:33 +0000 2020,,3352,0,6,2020-09-02 16:17:00,True,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.296}",0.0,0.879,0.121,0.296,jaeminohsexc,Other,neu,woozi little figurine black panther portrayed chadwick passed away woozi replied op rip woogyuloona made joke abt
21,Eric Fahy,"Reading the first reports of Marvel struggling with Boseman’s death and the future of Black Panther. Obv a back burner issue, but Black panther is a title passed on and if they don’t hire Jonathan Majors to play an everyday citizen of Wakanda who earns the title they are idiots.",Wed Sep 02 15:44:18 +0000 2020,"Los Angeles, CA",262,0,0,2020-09-02 15:44:00,True,"{'neg': 0.182, 'neu': 0.678, 'pos': 0.141, 'compound': -0.3612}",0.182,0.678,0.141,-0.3612,self,Other,neu,reading first reports marvel struggling bosemans death future black panther obv back burner issue black panther title passed dont hire jonathan majors play everyday citizen wakanda earns title idiots
27,SEVENTEEN WEVERSE,"tw // death • [REPOST]

From #우지’s comment to fan:

OP: Jihoon do those kids have names??

#WOOZI: RIP

@pledis_17 #SEVENTEEN #세븐틴

*repost bc qrts were :/ he’s talking about the black panther figurine. if you did not know, chadwick boseman recently passed away + https://t.co/21peDall9g",Wed Sep 02 15:09:39 +0000 2020,,169891,121,960,2020-09-02 15:09:00,True,"{'neg': 0.138, 'neu': 0.78, 'pos': 0.082, 'compound': -0.3818}",0.138,0.78,0.082,-0.3818,pledis_17,Other,neg,tw death repost comment fan op jihoon kids names rip repost bc qrts hes talking black panther figurine know chadwick boseman recently passed away
30,ishu\⁷ 𖧷| Bright After Rain🌧🌈 🍉,"@nice_weirdo14 @1woo17 @pledis_17 The actor who played black panther (Chadwich Boseman) passed away few days ago due to cancer, that's why he wrote RIP",Wed Sep 02 14:25:05 +0000 2020,25   btsvt,480,0,0,2020-09-02 14:25:00,True,"{'neg': 0.222, 'neu': 0.657, 'pos': 0.121, 'compound': -0.4588}",0.222,0.657,0.121,-0.4588,nice_weirdo14,Other,neg,actor played black panther chadwich boseman passed away days ago due cancer thats wrote rip
31,ًclosed!,"tw // death (?)

i think he said rip bcs black panther’s cast chadwick boseman has passed away and iron man character in marvel has passed away too 😕",Wed Sep 02 14:17:08 +0000 2020,she|her 17 ,101,0,2,2020-09-02 14:17:00,True,"{'neg': 0.165, 'neu': 0.717, 'pos': 0.118, 'compound': -0.2732}",0.165,0.717,0.118,-0.2732,self,Other,neg,tw death think said rip bcs black panthers cast chadwick boseman passed away iron man character marvel passed away
35,Illastr8 Radio,Chadwick Boseman (@chadwickboseman) has passed away at the age of 43 from stage IV Colon cancer. He broke barriers in his well known film “Black Panther”. He is our super hero in real life and will be greatly missed. RIP King and Thank You for leaving us with your great work! https://t.co/dzuGi57RF1,Wed Sep 02 11:24:07 +0000 2020,"Washington, DC",1627,1,3,2020-09-02 11:24:00,True,"{'neg': 0.202, 'neu': 0.459, 'pos': 0.338, 'compound': 0.7584}",0.202,0.459,0.338,0.7584,chadwickboseman,Other,pos,chadwick boseman passed away age 43 stage iv colon cancer broke barriers well known film black panther super hero real life greatly missed rip king thank leaving us great work
39,Jazz Lau Young,"I told my kid that black panther black passed away

""Did he pass away because he was saving someone"" 😭

#WakandaForever",Wed Sep 02 06:50:02 +0000 2020,,32,0,1,2020-09-02 06:50:00,True,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,self,Other,neu,told kid black panther black passed away pass away saving someone
41,Shivani Parekh,"Heartbreaking to know that someone so young, talented, determined and giving has passed away from this world. A hero to all.
RIP Chadwick Bozeman. #WakandaForever #ChadwickBoseman #Hero 
https://t.co/l6jMzlFHgt",Wed Sep 02 05:17:16 +0000 2020,"Abu Dhabi, UAE",91,0,0,2020-09-02 05:17:00,True,"{'neg': 0.127, 'neu': 0.38, 'pos': 0.494, 'compound': 0.8271}",0.127,0.38,0.494,0.8271,self,Other,pos,heartbreaking know someone young talented determined giving passed away world hero rip chadwick bozeman
45,Your Girl Karly,I asked my Alexa how she’s feeling and she said “I’m reflecting on the death of Chadwick Boseman. An inspiring actor who recently passed away. Wakanda Forever” 🥺💔,Wed Sep 02 03:33:20 +0000 2020,"Edmonton, Alberta",685,0,12,2020-09-02 03:33:00,True,"{'neg': 0.176, 'neu': 0.631, 'pos': 0.194, 'compound': -0.1531}",0.176,0.631,0.194,-0.1531,self,Other,neu,asked alexa shes feeling said im reflecting death chadwick boseman inspiring actor recently passed away wakanda forever
47,Filmy Reviewz,"Wakanda and Chadwick Boseman Forever! 

Huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

Check out latest filmy tribute to MCU Black Panther Chadwick 

https://t.co/0cTuwBWKXW

Very sad news for #BlackPanther    fans.
RIP",Wed Sep 02 01:52:46 +0000 2020,,2,0,3,2020-09-02 01:52:00,True,"{'neg': 0.287, 'neu': 0.645, 'pos': 0.067, 'compound': -0.8176}",0.287,0.645,0.067,-0.8176,self,Other,neg,wakanda chadwick boseman forever huge loss universe passed away age 43 due colon cancer check latest filmy tribute mcu black panther chadwick sad news fans rip
50,Alchemy Media,"#ChadwickBoseman, who is best known for his movie roles as Jackie Robinson in “42” and T’Challa in “Black Panther,” passed away on August 28th at 43.

His incredible body of work will continue to inspire generations to come. 

Rest in love and power #RIP https://t.co/zkE5VA3TLA",Wed Sep 02 00:19:34 +0000 2020,"Los Angeles, CA",826,1,3,2020-09-02 00:19:00,True,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.9201}",0.0,0.645,0.355,0.9201,self,Other,pos,best known movie roles jackie robinson 42 tchalla black panther passed away august 28th 43 incredible body work continue inspire generations come rest love power
51,Haliee 👸🏾,"@breee_dior He was an amazing black panther. I still can’t believe he passed away, I know you sad sis",Tue Sep 01 22:46:52 +0000 2020,,828,0,0,2020-09-01 22:46:00,True,"{'neg': 0.195, 'neu': 0.566, 'pos': 0.239, 'compound': 0.1779}",0.195,0.566,0.239,0.1779,breee_dior,Other,neu,amazing black panther still cant believe passed away know sad sis
65,"Allison Rosen, MS",I am sad someone famous like #ChadwickBoseman had to pass away for this conversation to get national attention. As someone that has survived #colorectalcancer and now works in #healthdisparities we need the conversations to continue beyond this week or month! #accesstocare #crcsm,Tue Sep 01 18:15:42 +0000 2020,"Houston, TX",3221,0,4,2020-09-01 18:15:00,True,"{'neg': 0.124, 'neu': 0.643, 'pos': 0.233, 'compound': 0.4019}",0.124,0.643,0.233,0.4019,self,Other,pos,sad someone famous like pass away conversation get national attention someone survived works need conversations continue beyond week month
84,Martha McKinney,"Chadwick Boseman married longtime love before his death, family reveals https://t.co/PeQDjGlOP4 via @TODAYshow that's amazing that's amazing black panther just passed away and that's a sad but that's amazing this picture reminds me of black panther",Tue Sep 01 12:51:10 +0000 2020,New Jersey ,30,0,0,2020-09-01 12:51:00,True,"{'neg': 0.168, 'neu': 0.457, 'pos': 0.375, 'compound': 0.8625}",0.168,0.457,0.375,0.8625,TODAYshow,Other,pos,chadwick boseman married longtime love death family reveals via thats amazing thats amazing black panther passed away thats sad thats amazing picture reminds black panther
90,DeathPunch3520,So freaking awesome to see this. So sad to know an amazing actor passed away so young. Good for this little boy to show his love and support for the Black Panther. #WakandaForever,Tue Sep 01 10:56:16 +0000 2020,"Connecticut, USA",25,0,0,2020-09-01 10:56:00,True,"{'neg': 0.172, 'neu': 0.32, 'pos': 0.508, 'compound': 0.9107}",0.172,0.32,0.508,0.9107,self,Other,pos,freaking awesome see sad know amazing actor passed away young good little boy show love support black panther
92,Inspiration Mins,"When Chadwick Boseman, the star of ""42"" and ""Black Panther,"" passed away on August 28, his death surprised many, but he knew God and had lived a full life. Click https://t.co/4MGTX3kY2l to read 'Chadwick Boseman: A Fulfilled Short Life' by John Farrell. #fulfilled #homecoming https://t.co/GUyujTd26H",Tue Sep 01 10:00:21 +0000 2020,"Indian Land, SC USA",4399,0,0,2020-09-01 10:00:00,True,"{'neg': 0.116, 'neu': 0.682, 'pos': 0.202, 'compound': 0.2263}",0.116,0.682,0.202,0.2263,self,Other,pos,chadwick boseman star 42 black panther passed away august 28 death surprised many knew god lived full life click read chadwick boseman fulfilled short life john farrell
95,Mo Roy Lang,"The first thing my nephew said when I called him in India, Wakanda passed away, RIP #ChadwickBoseman",Tue Sep 01 08:00:48 +0000 2020,"Los Angeles, CA",781,0,0,2020-09-01 08:00:00,True,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,self,Other,neu,first thing nephew said called india wakanda passed away rip
97,Brian Cook,"Very sad news. The incredible talent Chadwick Boseman  passed away after a 4 year battle with colon cancer. He was an incredible actor, activist and advocate. He brought Black Panther to life. Played real life heroes Jackie Robinson and Thurgood Marshall. Rest in power Chadwick. https://t.co/JV1J1329E4",Tue Sep 01 07:07:29 +0000 2020,Winnipeg MB. Canada,4899,0,1,2020-09-01 07:07:00,True,"{'neg': 0.232, 'neu': 0.573, 'pos': 0.195, 'compound': -0.3818}",0.232,0.573,0.195,-0.3818,self,Other,neg,sad news incredible talent chadwick boseman passed away 4 year battle colon cancer incredible actor activist advocate brought black panther life played real life heroes jackie robinson thurgood marshall rest power chadwick
99,Filmy Reviewz,"Wakanda and Chadwick Boseman Forever! 

Huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

Very sad news for #BlackPanther fans.
RIP 
Will surely miss you.
Chadwick… https://t.co/JuAmNm06MB",Tue Sep 01 06:19:58 +0000 2020,,2,0,3,2020-09-01 06:19:00,True,"{'neg': 0.361, 'neu': 0.475, 'pos': 0.165, 'compound': -0.7351}",0.361,0.475,0.165,-0.7351,self,Other,neg,wakanda chadwick boseman forever huge loss universe passed away age 43 due colon cancer sad news fans rip surely miss chadwick
103,weezy f. baby,"I have no intention of telling my kids Chadwick passed away, because BLACK PANTHER lives on through all of us, especially my son. #WakandaForever",Tue Sep 01 05:40:32 +0000 2020,"Minneapolis, MN",769,1,2,2020-09-01 05:40:00,True,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,self,Other,neg,intention telling kids chadwick passed away black panther lives us especially son
105,90s mania Z 🕹 retro memes,"its time for black panther memes

Its sad that our guy Chadwick Boseman passed away

so lets celebrate his most famous character with memes all day today https://t.co/wmah2NT3gW",Tue Sep 01 04:16:00 +0000 2020,the past,21168,2,10,2020-09-01 04:16:00,True,"{'neg': 0.142, 'neu': 0.688, 'pos': 0.17, 'compound': 0.1531}",0.142,0.688,0.17,0.1531,self,Other,pos,time black panther memes sad guy chadwick boseman passed away lets celebrate famous character memes day today
106,TreeStand🌳,"@HappyPower Yes it is sad that Chadwick passed away and it does make sense if Fortnite were to change their mind about adding the POI, but also it makes more sense for them to still add it. The Black Panther is a Marvel character, not just Chadwick.",Tue Sep 01 04:07:36 +0000 2020,Your Moms House,430,0,0,2020-09-01 04:07:00,True,"{'neg': 0.112, 'neu': 0.688, 'pos': 0.199, 'compound': 0.34}",0.112,0.688,0.199,0.34,HappyPower,Other,pos,yes sad chadwick passed away make sense fortnite change mind adding poi also makes sense still add black panther marvel character chadwick
108,9News Adelaide,The star of Black Panther and an AFL legend were among those who sadly passed away last month. #9News https://t.co/3ZP7hOS9wT,Tue Sep 01 03:51:50 +0000 2020,"Adelaide, Australia",116006,0,0,2020-09-01 03:51:00,True,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}",0.219,0.781,0.0,-0.4215,self,Other,neg,star black panther afl legend among sadly passed away last month
