Node,Degree Centrality,Betweenness Centrality,PageRank,Eigenvector Centrality
@chadwickboseman,0.05047579644187009,2.663128510217378e-07,0.015094981705749761,0.36466482089272456
chadwickboseman,0.04247689973796718,0.0,0.01375355624319171,0.36466482089272456
@Marvel,0.01710108950489588,0.0,0.00367512637940804,0.36466482089272456
@MarvelStudios,0.01323955316508068,0.0,0.0025390498502206663,0.36466482089272456
t'challa: the black panther facts,0.010205488898083023,0.0,0.0019155968482164954,0.36466482089272456
dj dylan,0.009102192800992967,0.0,0.0014091033994741199,0.36466482089272456
ray veysey,0.007033512618949111,0.0,0.0013479089374901438,0.36466482089272456
Marvel,0.006481864570404083,0.0,0.0012255200135221913,0.18614724327091056
authority,0.004826920424768998,0.0,0.0012056318133773993,0.15664861221093046
@MCU_Direct,0.00468900841263274,0.0,0.0011949227825302031,0.06306674815840799
