Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,sentiment,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id
110,Ryan Aaron,When I head the news that #ChadwickBoseman passed away. #Memes #Marvel #BlackPanther #SpongeBobSquarepants #spongebobmemes @Marvel @SpongeBob https://t.co/93yLqykqAi,Tue Sep 01 03:37:21 +0000 2020,,107,0,0,2020-09-01 03:37:21+00:00,False,Marvel,"['@Marvel', '@SpongeBob']",Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,6.0,0.0,0.9727272727272728,0.0,0.6794169877480434,109,original,
116,CV 4 Seasons Pub,@Marvel Im sure everyone is asking was there a Black Panther sequel in production before Chadwick Bosman passed away?  I write childrens books and have thought of options for the beginning of the next sequel.  Question: will there be a release in the near future?,Tue Sep 01 02:37:25 +0000 2020,,13,0,0,2020-09-01 02:37:25+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.3939}",0.0,0.939,0.061,0.3939,6.0,0.0,0.11206896551724138,0.0,0.10622221325530748,115,original,
380,Free Flames Scout,"@Marvel The first superhero my son ever Really knew was the #Blackpanther. Chadwick instantly made an impact on my son... Today I had to tell him his hero passed away.
I then told him we were going to watch the Black Panther, in memory of Chadwick... 1/2 way through I asked him why...  https://t.co/Xl39XC6reb",Sun Aug 30 09:05:18 +0000 2020,Calgary,684,0,4,2020-08-30 09:05:18+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.0, 'neu': 0.933, 'pos': 0.067, 'compound': 0.5574}",0.0,0.933,0.067,0.5574,6.0,0.005847953216374269,1.8,0.005830920310793199,1.0296194171811581,379,original,
537,Crystal “Rain” Barron,"Last night before I went to bed I had heard that Chadwick Boseman passed away and my heart sunk. He truly was an incredible actor, person, and an inspiration to so many. He will be missed. #chadwickboseman #marvel #wakandaforever #RIPChadBoseman @marvel  @chadwickboseman https://t.co/KfqqncNhWn",Sat Aug 29 21:45:40 +0000 2020,"Clermont, FL",20,0,1,2020-08-29 21:45:40+00:00,True,marvel,"['@marvel', '@chadwickboseman']",Missing_Retweet_ID,,"{'neg': 0.047, 'neu': 0.817, 'pos': 0.135, 'compound': 0.6249}",0.047,0.817,0.135,0.6249,7.0,0.05,0.037243947858473,0.048790164169432,0.036567145418419336,536,original,
677,Carolyn H,"@TMZ @TooFab I have no more words for 2020. My mom passed away couple of years ago from stage 4 colon cancer. She also battled it for 4 years. And it is a battle. To know that he was making movies during his battle is amazing to me. I'm grief stricken over this one.
#ChadwickBoseman",Sat Aug 29 17:55:52 +0000 2020,,32,0,0,2020-08-29 17:55:52+00:00,False,TMZ,"['@TMZ', '@TooFab']",Missing_Retweet_ID,TMZ,"{'neg': 0.305, 'neu': 0.639, 'pos': 0.056, 'compound': -0.9403}",0.305,0.639,0.056,-0.9403,Other,0.0,0.047267355982274745,0.0,0.04618425361985251,676,original,
867,Chiqui Pelaez 🇨🇴 🇺🇸,"Mateo's favorite @Marvel was Black Panther had to tell him this morning that he passed away so he says 
""He is a super hero he goes to super hero heaven and comes back when we need him"".",Sat Aug 29 15:02:05 +0000 2020,"Pleasant Grove, UT ",1628,0,1,2020-08-29 15:02:05+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.9694}",0.0,0.585,0.415,0.9694,6.0,0.0006142506142506142,1.8777393310265282,0.0006140620395595224,1.0570050314050772,866,original,
1015,Jordy,Omg I cant believe Chadwick Boseman has passed away man it was just the other day I remember waiting in line for the cinema to see black panther with my friends i hope chadwick Bosemans family are okay and coping alright  @Marvel @chadwickboseman #marvel #ChadwickBoseman,Sat Aug 29 13:21:55 +0000 2020,"London, England",32,0,1,2020-08-29 13:21:55+00:00,False,Marvel,"['@Marvel', '@chadwickboseman']",Missing_Retweet_ID,,"{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.836}",0.0,0.793,0.207,0.836,6.0,0.03125,0.03152709359605911,0.030771658666753687,0.031040319394649147,1014,original,
1171,unknown,"it's so sad to know that a great actor is already passed away 
thank you for your great performance @Marvel our Black Panther 

we will miss you @chadwickboseman 

#WakandaForever 
#ChadwickBoseman",Sat Aug 29 11:32:39 +0000 2020,"Cavite City, Calabarzon",55,0,0,2020-08-29 11:32:39+00:00,True,Marvel,"['@Marvel', '@chadwickboseman']",Missing_Retweet_ID,,"{'neg': 0.126, 'neu': 0.605, 'pos': 0.27, 'compound': 0.7722}",0.126,0.605,0.27,0.7722,6.0,0.0,0.04696840307429547,0.0,0.045898752898439366,1170,original,
1223,LucyLuvella,"@Marvel We will remember u forever  i cant believe  I wish this is not true u not pass away  u must here to continue our  Black panther u look powerful and greatest nobody cant instead this Actor, no body perfect in black panther suit handsome brave powerful like u",Sat Aug 29 11:02:49 +0000 2020,Cambodia PhnomPhen,12,0,0,2020-08-29 11:02:49+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.111, 'neu': 0.521, 'pos': 0.368, 'compound': 0.9502}",0.111,0.521,0.368,0.9502,6.0,0.0,0.009811937857726901,0.0,0.009764113374905216,1222,original,
1655,Advancells,"#RestInPeace Chadwick Boseman
We lost a Gem.
Award wining actor sadly passed away. He was fighting with colon cancer since last 4 years.
We will miss you #BlackPanther
#WakandaForever 
#ChadwickBosemanForever 
#ChadwickBoseman 
#ripchadwickboseman 
@Marvel @MarvelStudios https://t.co/zcOqDosFiQ",Sat Aug 29 07:37:41 +0000 2020,"New Delhi, India",1964,3,2,2020-08-29 07:37:41+00:00,True,Marvel,"['@Marvel', '@MarvelStudios']",Missing_Retweet_ID,,"{'neg': 0.308, 'neu': 0.612, 'pos': 0.079, 'compound': -0.8442}",0.308,0.612,0.079,-0.8442,7.0,0.0025458248472505093,1.1867069486404833,0.002542589724714343,0.7823967357525792,1654,original,
72,sudo apt-get johnny-rubix,"@KOLDNews To honor the recently-passed Black Panther actor, Harkins Theatres will try to make just a little bit more money.",Thu Sep 10 21:43:57 +0000 2020,"Tucson, Arizona",480,0,1,2020-09-10 21:43:57+00:00,False,KOLDNews,['@KOLDNews'],Missing_Retweet_ID,KOLDNews,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",0.0,0.849,0.151,0.4939,Other,0.0020833333333333333,6.666666666666667,0.002081166203824567,2.03688192726104,4337,original,
40,I AM,@Marvel @theblackpanther @MarvelStudios @Kevfeige @theblackpanther You all are a bunch of hypocrites. Youll recast T. Ross but wont #RecastTChalla ? Ill pass on seeing this film . #HonorChadwickBoseman #BlackPanther #WakandaForever https://t.co/pI35yF0yoS,Thu Oct 27 13:11:59 +0000 2022,,609,0,2,2022-10-27 13:11:59+00:00,True,Marvel,"['@Marvel', '@theblackpanther', '@MarvelStudios', '@Kevfeige', '@theblackpanther']",Missing_Retweet_ID,Marvel,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.4585}",0.0,0.9,0.1,0.4585,6.0,0.003284072249589491,15.225,0.003278691461698299,2.7865532625901537,4767,original,
146,N3x0n,@IGN Just killing him off without a proper send-off is such a cheap move. I understand he passed away so he couldnt actually die in a movie but they better do something good instead of just saying nah he dead and his sister is black panther now,Thu Oct 13 08:39:09 +0000 2022,,107,0,0,2022-10-13 08:39:09+00:00,False,IGN,['@IGN'],Missing_Retweet_ID,IGN,"{'neg': 0.18, 'neu': 0.649, 'pos': 0.171, 'compound': -0.1222}",0.18,0.649,0.171,-0.1222,19.0,0.0,0.7328767123287672,0.0,0.5497828670191838,4873,original,
187,"Bishop Steiner, AntiSocial General","Me: Oh, All Out Avengers sounds interesting... 

*checks preview*... 

oh. Greg Land.  And he's still plagiarizing ""art references"".

*puts away credit card* I'll pass.

Even ignoring that, his ""style"" is best suited for Romance Novel covers or soft core porn. 

Why @Marvel ? https://t.co/HlQPD1rPQ7",Tue Oct 04 11:13:48 +0000 2022,Mexico,2746,0,4,2022-10-04 11:13:48+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,,"{'neg': 0.051, 'neu': 0.712, 'pos': 0.238, 'compound': 0.875}",0.051,0.712,0.238,0.875,6.0,0.0014566642388929353,14.684491978609625,0.0014556043327006187,2.7526724521228645,4914,original,
196,Really Him,Ngl i relly hate the fact that because Chadwick passed away that @Marvel decided to end The Black Panther we don't wanna see a T'Challa funeral find a replacement.,Mon Oct 03 21:59:53 +0000 2022,"Tampa, FL",148,0,0,2022-10-03 21:59:53+00:00,False,Marvel,['@Marvel'],Missing_Retweet_ID,,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.7351}",0.205,0.795,0.0,-0.7351,6.0,0.0,0.7551020408163265,0.0,0.5625269981428811,4923,original,
201,B.C. Justice #SaveTChalla,"CC: @Marvel @Kevfeige 

What is up why kill off a legendary superhero because first actor passed away in real life?",Mon Oct 03 18:09:01 +0000 2022,United States,828,4,11,2022-10-03 18:09:01+00:00,False,Marvel,"['@Marvel', '@Kevfeige']",Missing_Retweet_ID,,"{'neg': 0.207, 'neu': 0.793, 'pos': 0.0, 'compound': -0.6908}",0.207,0.793,0.0,-0.6908,6.0,0.018115942028985508,4.119402985074627,0.017953803616595765,1.633037827774974,4928,original,
217,Andreas Vassvik 𝕏 Fake Anime Account,"@Marvel Gotta wonder how happy Kevin Feige was when he heard Chadwick had passed? He could finaly replace him without any argument. He could use his death as marketing. Exploting a dead man and pretend to care. This isn't even woke anymore. It's just disgusting. And yet, i'll get the .",Mon Oct 03 14:48:43 +0000 2022,Norge/Norway 🇧🇻,95,0,2,2022-10-03 14:48:43+00:00,True,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.203, 'neu': 0.656, 'pos': 0.141, 'compound': -0.6111}",0.203,0.656,0.141,-0.6111,6.0,0.021052631578947368,0.4377880184331797,0.020834086902841987,0.3631058342690228,4944,original,
259,Bezzy Boy,"@BuzzFeed Sooooooo @Marvel  ... you guys were flopping with every other film and decided a man's death was too big of a cash cow to pass up, and you conned Coogler into exploiting his bond with Chadwick and made ""everything about that"" .... GOT IT. #boycottwakandaforever",Tue Sep 27 13:16:51 +0000 2022,,293,0,0,2022-09-27 13:16:51+00:00,True,BuzzFeed,"['@BuzzFeed', '@Marvel']",Missing_Retweet_ID,BuzzFeed,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.7783}",0.139,0.861,0.0,-0.7783,36.0,0.0,1.1312741312741312,0.0,0.7567199845775575,4986,original,
263,Kevin Perry 💙 🖤👆🏽,"@BuzzFeed Doesnt make sense to me. Chadwick is an iconic actor, but Black panther is an iconic figure in comics, as a 49 year old black male we have very few. It makes no sense to me not to recast him. Christian Bale had passed would they not recast Batman. The character is too important",Tue Sep 27 03:19:26 +0000 2022,DFW,480,2,44,2022-09-27 03:19:26+00:00,False,BuzzFeed,['@BuzzFeed'],Missing_Retweet_ID,BuzzFeed,"{'neg': 0.049, 'neu': 0.912, 'pos': 0.039, 'compound': -0.1531}",0.049,0.912,0.039,-0.1531,36.0,0.09583333333333334,1.8250950570342206,0.09151510883577325,1.0385420125399947,4990,original,
287,CYCLOPS IS RIGHT,"@Marvel all these years charles always picked what was right over what is moral in some points he ordered his own brothers death , but i think charles needs a pass over not just because he fought for the mutant kind like no one did .",Fri Sep 23 20:20:40 +0000 2022,,49,0,0,2022-09-23 20:20:40+00:00,True,Marvel,['@Marvel'],Missing_Retweet_ID,Marvel,"{'neg': 0.155, 'neu': 0.697, 'pos': 0.148, 'compound': 0.1655}",0.155,0.697,0.148,0.1655,6.0,0.0,0.17073170731707318,0.0,0.15762894420358314,5014,original,
381,BV,@DiscussingFilm Wow this is a juggernaut of a film. I didnt anticipate it to pass Black Panther tho. I still believe it will win Best Picture at the #Oscars2023,Tue Sep 06 19:39:37 +0000 2022,A galaxy far far away ,273,0,0,2022-09-06 19:39:37+00:00,False,DiscussingFilm,['@DiscussingFilm'],Missing_Retweet_ID,DiscussingFilm,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.9153}",0.0,0.651,0.349,0.9153,13.0,0.0,0.7165354330708661,0.0,0.5403079763304977,5108,original,
