Username,tweet_text,compound,neg,pos,engagement_rate,retweet_count
weny news,"Young fans are mourning the loss of 'Black Panther' star Chadwick Boseman, who passed away last week from colon cancer.  https://t.co/WRKD0NhVrW",-0.8625,0.348,0.0,0.0,0
aarc,The AARC was sadden by the the loss of actor Chadwick Boseman. The Black Panther' star passed away after his four year battle with colon cancer. Chadwick's impact and his legacy will live on for generations to come.  #WakandaForever #SouthCarolina #ChadwickBoseman https://t.co/ibHPqTKG83,-0.9169,0.253,0.0,0.006872852233676976,0
daily entertainment news,"Chadwick Boseman to get scholarship named after him - Chadwick Boseman is to have a scholarship named after him at his old school.
The 'Black Panther' star tragically passed away last week at the young age of 43 after a secret four year battle with colon cancer and his memory ...",-0.8934,0.192,0.0,0.0,0
daily entertainment news,"Naomi Campbell: Chadwick Boseman was a humble being - Naomi Campbell says Chadwick Boseman was a ""selfless"" and ""humble being"".
The 'Black Panther' star tragically passed away last week at the age of 43 after secretly battling colon cancer for four years, and Naomi has now pai...",-0.8807,0.199,0.0,0.0,0
gerry conway stands with ukraine,"Dont recast. Rethink. Honor this tragic loss by allowing the audience to grieve the death of TChalla, and pass the mantle of Black Panther to its natural heir Shuri. https://t.co/l9jogvmtLU",-0.9086,0.36,0.06,0.057826810990840964,188
mvslim,"At the weekend, the Black Panther Star, Chadwick Boseman sadly passed away after a long battle with Cancer. 

Here are some reflections from @HafsahDabiri our Chief Editor. 

https://t.co/s5fj0tji5T

#Mvslim #Muslim #ChadwickBoseman #BlackPanther",-0.8689,0.259,0.0,0.0006148800983808157,1
the islamic information,"Throwback: When Chadwick (aka Black Panther) attended one of the Islamic adresses by Omar Suleiman and was in tears.

He passed away at the age of 43 after battling with Colon Cancer.

https://t.co/sgz4MNLN0j https://t.co/cKA6tYTjPt",-0.8126,0.213,0.0,0.0002842524161455372,0
jt,"Kevin Feige didnt find out that Chadwick Boseman had cancer until the day he passed away. 

Chadwick thought he was gonna beat cancer and be ready to start filming Black Panther 2. 

https://t.co/taJRchXE6F https://t.co/4DtMeGroXe",-0.8074,0.208,0.059,0.06280193236714976,41
idragic,"I havent made a tweet in a long time but all I wanna say is 2020 needs to end. Just this month alone, mental health has been severe, Black Panther passes away, lost a couple close friends. Shit just aint going my way",-0.8625,0.27,0.082,0.0,0
deha,"A few days ago when the Black Panther passed away, i watched Vidi's snapgram, he talked about his fear, his anxiety, everytime someone died of cancer. 
And I cried
I can feel his anxiety. And more than that, i salute his honestly admitted that.",-0.9153,0.327,0.084,0.0,0
shivani parekh,"Heartbreaking to know that someone so young, talented, determined and giving has passed away from this world. A hero to all.
RIP Chadwick Bozeman. #WakandaForever #ChadwickBoseman #Hero 
https://t.co/l6jMzlFHgt",0.8497,0.081,0.329,0.0,0
filmy reviewz,"Wakanda and Chadwick Boseman Forever! 

Huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

Check out latest filmy tribute to MCU Black Panther Chadwick 

https://t.co/0cTuwBWKXW

Very sad news for #BlackPanther fans.
RIP",-0.8436,0.213,0.047,1.5,0
alchemy media,"#ChadwickBoseman, who is best known for his movie roles as Jackie Robinson in 42 and TChalla in Black Panther, passed away on August 28th at 43.

His incredible body of work will continue to inspire generations to come. 

Rest in love and power #RIP https://t.co/zkE5VA3TLA",0.9201,0.0,0.224,0.004842615012106538,1
